Washington, Heating Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,186,-19
189606,209,4
189706,203,-2
189806,183,-22
189906,272,67
190006,162,-43
190106,303,98
190206,225,20
190306,156,-49
190406,226,21
190506,214,9
190606,250,45
190706,223,18
190806,224,19
190906,207,2
191006,248,43
191106,249,44
191206,175,-30
191306,194,-11
191406,225,20
191506,199,-6
191606,228,23
191706,277,72
191806,147,-58
191906,277,72
192006,246,41
192106,190,-15
192206,153,-52
192306,198,-7
192406,192,-13
192506,194,-11
192606,134,-71
192706,162,-43
192806,201,-4
192906,222,17
193006,234,29
193106,204,-1
193206,165,-40
193306,241,36
193406,187,-18
193506,199,-6
193606,158,-47
193706,170,-35
193806,164,-41
193906,257,52
194006,143,-62
194106,195,-10
194206,233,28
194306,247,42
194406,205,0
194506,231,26
194606,234,29
194706,209,4
194806,131,-74
194906,230,25
195006,185,-20
195106,166,-39
195206,263,58
195306,284,79
195406,294,89
195506,228,23
195606,260,55
195706,179,-26
195806,92,-113
195906,195,-10
196006,210,5
196106,123,-82
196206,228,23
196306,224,19
196406,242,37
196506,209,4
196606,241,36
196706,125,-80
196806,214,9
196906,103,-102
197006,140,-65
197106,302,97
197206,218,13
197306,224,19
197406,189,-16
197506,248,43
197606,283,78
197706,166,-39
197806,131,-74
197906,195,-10
198006,258,53
198106,265,60
198206,130,-75
198306,216,11
198406,242,37
198506,196,-9
198606,134,-71
198706,151,-54
198806,222,17
198906,142,-63
199006,204,-1
199106,266,61
199206,99,-106
199306,203,-2
199406,216,11
199506,169,-36
199606,215,10
199706,207,2
199806,175,-30
199906,244,39
200006,179,-26
200106,254,49
200206,158,-47
200306,130,-75
200406,131,-74
200506,206,1
200606,145,-60
200706,212,7
200806,257,52
200906,139,-66
201006,247,42
201106,245,40
201206,271,66
201306,156,-49
201406,180,-25
201506,68,-137
