Maine, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,747,11
189604,734,-2
189704,731,-5
189804,804,68
189904,719,-17
190004,713,-23
190104,686,-50
190204,703,-33
190304,725,-11
190404,807,71
190504,756,20
190604,807,71
190704,844,108
190804,819,83
190904,807,71
191004,617,-119
191104,799,63
191204,780,44
191304,694,-42
191404,854,118
191504,669,-67
191604,735,-1
191704,795,59
191804,721,-15
191904,762,26
192004,812,76
192104,612,-124
192204,708,-28
192304,839,103
192404,803,67
192504,712,-24
192604,925,189
192704,729,-7
192804,807,71
192904,775,39
193004,782,46
193104,672,-64
193204,747,11
193304,742,6
193404,693,-43
193504,762,26
193604,786,50
193704,726,-10
193804,663,-73
193904,856,120
194004,826,90
194104,602,-134
194204,675,-61
194304,853,117
194404,823,87
194504,590,-146
194604,784,48
194704,807,71
194804,759,23
194904,637,-99
195004,777,41
195104,643,-93
195204,673,-63
195304,662,-74
195404,734,-2
195504,700,-36
195604,799,63
195704,695,-41
195804,668,-68
195904,706,-30
196004,738,2
196104,776,40
196204,742,6
196304,751,15
196404,760,24
196504,783,47
196604,784,48
196704,812,76
196804,644,-92
196904,764,28
197004,741,5
197104,770,34
197204,834,98
197304,673,-63
197404,710,-26
197504,818,82
197604,652,-84
197704,728,-8
197804,784,48
197904,708,-28
198004,673,-63
198104,652,-84
198204,775,39
198304,673,-63
198404,698,-38
198504,714,-22
198604,601,-135
198704,615,-121
198804,710,-26
198904,788,52
199004,687,-49
199104,653,-83
199204,785,49
199304,705,-31
199404,710,-26
199504,793,57
199604,712,-24
199704,773,37
199804,637,-99
199904,654,-82
200004,707,-29
200104,736,0
200204,680,-56
200304,803,67
200404,701,-35
200504,652,-84
200604,621,-115
200704,768,32
200804,643,-93
200904,625,-111
201004,541,-195
201104,689,-47
201204,613,-123
201304,702,-34
201404,714,-22
201504,741,5
