New Hampshire, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1497,63
189601,1520,86
189701,1409,-25
189801,1492,58
189901,1473,39
190001,1438,4
190101,1473,39
190201,1494,60
190301,1430,-4
190401,1689,255
190501,1566,132
190601,1240,-194
190701,1535,101
190801,1370,-64
190901,1386,-48
191001,1357,-77
191101,1370,-64
191201,1701,267
191301,1148,-286
191401,1499,65
191501,1337,-97
191601,1336,-98
191701,1458,24
191801,1745,311
191901,1323,-111
192001,1703,269
192101,1380,-54
192201,1578,144
192301,1561,127
192401,1389,-45
192501,1599,165
192601,1424,-10
192701,1416,-18
192801,1338,-96
192901,1468,34
193001,1385,-49
193101,1452,18
193201,1131,-303
193301,1153,-281
193401,1415,-19
193501,1604,170
193601,1469,35
193701,1180,-254
193801,1488,54
193901,1453,19
194001,1607,173
194101,1507,73
194201,1431,-3
194301,1551,117
194401,1389,-45
194501,1598,164
194601,1463,29
194701,1368,-66
194801,1616,182
194901,1208,-226
195001,1213,-221
195101,1294,-140
195201,1329,-105
195301,1234,-200
195401,1499,65
195501,1430,-4
195601,1299,-135
195701,1642,208
195801,1332,-102
195901,1446,12
196001,1369,-65
196101,1621,187
196201,1457,23
196301,1438,4
196401,1356,-78
196501,1503,69
196601,1411,-23
196701,1279,-155
196801,1581,147
196901,1407,-27
197001,1662,228
197101,1625,191
197201,1384,-50
197301,1331,-103
197401,1349,-85
197501,1317,-117
197601,1594,160
197701,1637,203
197801,1461,27
197901,1377,-57
198001,1355,-79
198101,1648,214
198201,1691,257
198301,1354,-80
198401,1512,78
198501,1558,124
198601,1356,-78
198701,1441,7
198801,1476,42
198901,1280,-154
199001,1176,-258
199101,1420,-14
199201,1371,-63
199301,1317,-117
199401,1686,252
199501,1205,-229
199601,1409,-25
199701,1406,-28
199801,1244,-190
199901,1391,-43
200001,1435,1
200101,1395,-39
200201,1147,-287
200301,1610,176
200401,1631,197
200501,1464,30
200601,1157,-277
200701,1284,-150
200801,1300,-134
200901,1582,148
201001,1325,-109
201101,1455,21
201201,1260,-174
201301,1335,-99
201401,1462,28
201501,1508,74
