Indiana, Heating Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,899,93
189603,985,179
189703,767,-39
189803,669,-137
189903,950,144
190003,993,187
190103,827,21
190203,719,-87
190303,623,-183
190403,822,16
190503,669,-137
190603,1098,292
190703,604,-202
190803,699,-107
190903,861,55
191003,522,-284
191103,832,26
191203,1085,279
191303,858,52
191403,913,107
191503,981,175
191603,920,114
191703,789,-17
191803,630,-176
191903,752,-54
192003,761,-45
192103,530,-276
192203,733,-73
192303,880,74
192403,954,148
192503,737,-69
192603,1021,215
192703,716,-90
192803,856,50
192903,610,-196
193003,855,49
193103,943,137
193203,1032,226
193303,844,38
193403,942,136
193503,607,-199
193603,708,-98
193703,941,135
193803,612,-194
193903,759,-47
194003,928,122
194103,967,161
194203,738,-68
194303,916,110
194403,908,102
194503,480,-326
194603,465,-341
194703,1023,217
194803,777,-29
194903,781,-25
195003,928,122
195103,861,55
195203,842,36
195303,753,-53
195403,882,76
195503,786,-20
195603,815,9
195703,807,1
195803,923,117
195903,845,39
196003,1241,435
196103,706,-100
196203,903,97
196303,724,-82
196403,825,19
196503,1016,210
196603,749,-57
196703,767,-39
196803,747,-59
196903,959,153
197003,915,109
197103,915,109
197203,847,41
197303,568,-238
197403,717,-89
197503,908,102
197603,603,-203
197703,633,-173
197803,1011,205
197903,754,-52
198003,942,136
198103,814,8
198203,818,12
198303,737,-69
198403,1050,244
198503,675,-131
198603,722,-84
198703,686,-120
198803,780,-26
198903,774,-32
199003,657,-149
199103,692,-114
199203,755,-51
199303,881,75
199403,800,-6
199503,685,-121
199603,971,165
199703,722,-84
199803,748,-58
199903,891,85
200003,621,-185
200103,873,67
200203,843,37
200303,728,-78
200403,659,-147
200503,876,70
200603,771,-35
200703,587,-219
200803,835,29
200903,662,-144
201003,675,-131
201103,743,-63
201203,358,-448
201303,949,143
201403,979,173
201503,882,76
