Washington, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,999,55
189601,898,-46
189701,949,5
189801,975,31
189901,927,-17
190001,803,-141
190101,948,4
190201,950,6
190301,870,-74
190401,885,-59
190501,922,-22
190601,873,-71
190701,1198,254
190801,902,-42
190901,1170,226
191001,1002,58
191101,1019,75
191201,933,-11
191301,1059,115
191401,811,-133
191501,958,14
191601,1272,328
191701,1012,68
191801,823,-121
191901,888,-56
192001,957,13
192101,901,-43
192201,1103,159
192301,894,-50
192401,964,20
192501,868,-76
192601,881,-63
192701,953,9
192801,903,-41
192901,1150,206
193001,1281,337
193101,784,-160
193201,992,48
193301,938,-6
193401,765,-179
193501,928,-16
193601,854,-90
193701,1311,367
193801,886,-58
193901,812,-132
194001,852,-92
194101,821,-123
194201,971,27
194301,1118,174
194401,901,-43
194501,846,-98
194601,876,-68
194701,1044,100
194801,943,-1
194901,1270,326
195001,1388,444
195101,959,15
195201,1031,87
195301,727,-217
195401,1017,73
195501,923,-21
195601,939,-5
195701,1193,249
195801,792,-152
195901,899,-45
196001,997,53
196101,808,-136
196201,964,20
196301,1078,134
196401,848,-96
196501,910,-34
196601,895,-49
196701,807,-137
196801,895,-49
196901,1183,239
197001,915,-29
197101,907,-37
197201,1028,84
197301,956,12
197401,976,32
197501,927,-17
197601,845,-99
197701,1004,60
197801,848,-96
197901,1155,211
198001,1072,128
198101,756,-188
198201,952,8
198301,759,-185
198401,838,-106
198501,1007,63
198601,776,-168
198701,897,-47
198801,915,-29
198901,868,-76
199001,806,-138
199101,951,7
199201,778,-166
199301,1047,103
199401,737,-207
199501,819,-125
199601,918,-26
199701,881,-63
199801,836,-108
199901,806,-138
200001,901,-43
200101,843,-101
200201,841,-103
200301,725,-219
200401,894,-50
200501,847,-97
200601,744,-200
200701,948,4
200801,963,19
200901,920,-24
201001,713,-231
201101,856,-88
201201,901,-43
201301,948,4
201401,818,-126
201501,758,-186
