Kansas, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1143,275
189602,803,-65
189702,907,39
189802,817,-51
189902,1273,405
190002,1069,201
190102,1054,186
190202,1117,249
190302,1050,182
190402,929,61
190502,1244,376
190602,834,-34
190702,866,-2
190802,819,-49
190902,799,-69
191002,1008,140
191102,823,-45
191202,996,128
191302,1097,229
191402,1010,142
191502,773,-95
191602,959,91
191702,963,95
191802,860,-8
191902,892,24
192002,841,-27
192102,713,-155
192202,876,8
192302,960,92
192402,847,-21
192502,725,-143
192602,699,-169
192702,743,-125
192802,797,-71
192902,1133,265
193002,539,-329
193102,677,-191
193202,678,-190
193302,959,91
193402,838,-30
193502,764,-104
193602,1218,350
193702,944,76
193802,785,-83
193902,976,108
194002,910,42
194102,895,27
194202,919,51
194302,720,-148
194402,798,-70
194502,864,-4
194602,654,-214
194702,972,104
194802,974,106
194902,937,69
195002,785,-83
195102,823,-45
195202,723,-145
195302,709,-159
195402,565,-303
195502,979,111
195602,894,26
195702,756,-112
195802,1028,160
195902,908,40
196002,1064,196
196102,797,-71
196202,824,-44
196302,846,-22
196402,873,5
196502,932,64
196602,932,64
196702,865,-3
196802,912,44
196902,866,-2
197002,779,-89
197102,1008,140
197202,865,-3
197302,847,-21
197402,759,-109
197502,1013,145
197602,582,-286
197702,740,-128
197802,1222,354
197902,1188,320
198002,1026,158
198102,778,-90
198202,1005,137
198302,822,-46
198402,679,-189
198502,1036,168
198602,834,-34
198702,687,-181
198802,925,57
198902,1130,262
199002,767,-101
199102,639,-229
199202,642,-226
199302,979,111
199402,951,83
199502,730,-138
199602,807,-61
199702,822,-46
199802,697,-171
199902,617,-251
200002,660,-208
200102,944,76
200202,791,-77
200302,927,59
200402,930,62
200502,712,-156
200602,842,-26
200702,960,92
200802,930,62
200902,698,-170
201002,989,121
201102,965,97
201202,744,-124
201302,870,2
201402,1042,174
201502,988,120
