Massachusetts, Heating Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,99,-41
189609,180,40
189709,172,32
189809,91,-49
189909,184,44
190009,95,-45
190109,110,-30
190209,156,16
190309,137,-3
190409,175,35
190509,182,42
190609,103,-37
190709,129,-11
190809,112,-28
190909,167,27
191009,157,17
191109,183,43
191209,168,28
191309,202,62
191409,154,14
191509,78,-62
191609,138,-2
191709,249,109
191809,225,85
191909,145,5
192009,115,-25
192109,65,-75
192209,119,-21
192309,116,-24
192409,196,56
192509,134,-6
192609,190,50
192709,137,-3
192809,208,68
192909,109,-31
193009,61,-79
193109,72,-68
193209,131,-9
193309,113,-27
193409,86,-54
193509,178,38
193609,143,3
193709,167,27
193809,181,41
193909,140,0
194009,167,27
194109,103,-37
194209,115,-25
194309,157,17
194409,103,-37
194509,68,-72
194609,96,-44
194709,120,-20
194809,110,-30
194909,161,21
195009,217,77
195109,122,-18
195209,108,-32
195309,98,-42
195409,178,38
195509,153,13
195609,221,81
195709,100,-40
195809,143,3
195909,70,-70
196009,148,8
196109,37,-103
196209,199,59
196309,233,93
196409,172,32
196509,138,-2
196609,184,44
196709,156,16
196809,106,-34
196909,123,-17
197009,116,-24
197109,67,-73
197209,123,-17
197309,137,-3
197409,141,1
197509,189,49
197609,170,30
197709,142,2
197809,218,78
197909,146,6
198009,105,-35
198109,166,26
198209,133,-7
198309,66,-74
198409,189,49
198509,115,-25
198609,188,48
198709,132,-8
198809,162,22
198909,114,-26
199009,136,-4
199109,159,19
199209,139,-1
199309,123,-17
199409,151,11
199509,165,25
199609,119,-21
199709,126,-14
199809,81,-59
199909,59,-81
200009,137,-3
200109,99,-41
200209,57,-83
200309,87,-53
200409,94,-46
200509,52,-88
200609,136,-4
200709,77,-63
200809,95,-45
200909,149,9
201009,54,-86
201109,53,-87
201209,101,-39
201309,122,-18
201409,92,-48
201509,35,-105
