Utah, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1386,123
189601,1177,-86
189701,1282,19
189801,1561,298
189901,1183,-80
190001,1094,-169
190101,1210,-53
190201,1247,-16
190301,1225,-38
190401,1390,127
190501,1187,-76
190601,1306,43
190701,1223,-40
190801,1268,5
190901,1075,-188
191001,1334,71
191101,1095,-168
191201,1202,-61
191301,1368,105
191401,1154,-109
191501,1359,96
191601,1328,65
191701,1550,287
191801,1199,-64
191901,1262,-1
192001,1218,-45
192101,1131,-132
192201,1498,235
192301,1102,-161
192401,1444,181
192501,1362,99
192601,1291,28
192701,1173,-90
192801,1225,-38
192901,1349,86
193001,1476,213
193101,1382,119
193201,1488,225
193301,1324,61
193401,1086,-177
193501,1124,-139
193601,1224,-39
193701,1708,445
193801,1075,-188
193901,1212,-51
194001,1199,-64
194101,1211,-52
194201,1348,85
194301,1160,-103
194401,1443,180
194501,1146,-117
194601,1319,56
194701,1389,126
194801,1225,-38
194901,1701,438
195001,1344,81
195101,1245,-18
195201,1345,82
195301,956,-307
195401,1097,-166
195501,1441,178
195601,1016,-247
195701,1340,77
195801,1231,-32
195901,1110,-153
196001,1336,73
196101,1170,-93
196201,1402,139
196301,1383,120
196401,1370,107
196501,1129,-134
196601,1257,-6
196701,1206,-57
196801,1352,89
196901,1096,-167
197001,1149,-114
197101,1162,-101
197201,1208,-55
197301,1470,207
197401,1334,71
197501,1323,60
197601,1270,7
197701,1291,28
197801,1108,-155
197901,1507,244
198001,1142,-121
198101,1091,-172
198201,1291,28
198301,1093,-170
198401,1447,184
198501,1400,137
198601,1160,-103
198701,1302,39
198801,1353,90
198901,1405,142
199001,1166,-97
199101,1341,78
199201,1249,-14
199301,1293,30
199401,1082,-181
199501,1152,-111
199601,1170,-93
199701,1214,-49
199801,1081,-182
199901,1088,-175
200001,1086,-177
200101,1260,-3
200201,1287,24
200301,955,-308
200401,1327,64
200501,1060,-203
200601,1130,-133
200701,1361,98
200801,1356,93
200901,1148,-115
201001,1178,-85
201101,1247,-16
201201,1093,-170
201301,1416,153
201401,1134,-129
201501,1036,-227
