New Hampshire, Heating Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,1208,133
189603,1261,186
189703,1128,53
189803,927,-148
189903,1223,148
190003,1275,200
190103,1134,59
190203,871,-204
190303,839,-236
190403,1175,100
190503,1155,80
190603,1290,215
190703,1110,35
190803,1090,15
190903,1152,77
191003,933,-142
191103,1215,140
191203,1209,134
191303,965,-110
191403,1106,31
191503,1155,80
191603,1328,253
191703,1135,60
191803,1132,57
191903,976,-99
192003,1083,8
192103,842,-233
192203,1062,-13
192303,1269,194
192403,1086,11
192503,971,-104
192603,1285,210
192703,1000,-75
192803,1139,64
192903,999,-76
193003,1084,9
193103,1021,-54
193203,1177,102
193303,1154,79
193403,1165,90
193503,1060,-15
193603,900,-175
193703,1206,131
193803,1025,-50
193903,1242,167
194003,1207,132
194103,1213,138
194203,941,-134
194303,1163,88
194403,1197,122
194503,830,-245
194603,792,-283
194703,1091,16
194803,1106,31
194903,1006,-69
195003,1230,155
195103,1029,-46
195203,1077,2
195303,993,-82
195403,1062,-13
195503,1107,32
195603,1262,187
195703,1026,-49
195803,970,-105
195903,1124,49
196003,1246,171
196103,1079,4
196203,1035,-40
196303,1052,-23
196403,1032,-43
196503,1096,21
196603,1029,-46
196703,1206,131
196803,1006,-69
196903,1144,69
197003,1119,44
197103,1129,54
197203,1159,84
197303,886,-189
197403,1087,12
197503,1129,54
197603,1036,-39
197703,881,-194
197803,1164,89
197903,915,-160
198003,1082,7
198103,1001,-74
198203,1118,43
198303,966,-109
198403,1217,142
198503,995,-80
198603,995,-80
198703,999,-76
198803,1053,-22
198903,1097,22
199003,998,-77
199103,951,-124
199203,1152,77
199303,1137,62
199403,1071,-4
199503,962,-113
199603,1127,52
199703,1133,58
199803,960,-115
199903,995,-80
200003,876,-199
200103,1132,57
200203,1005,-70
200303,1091,16
200403,969,-106
200503,1150,75
200603,1035,-40
200703,1093,18
200803,1115,40
200903,1040,-35
201003,830,-245
201103,1058,-17
201203,765,-310
201303,1022,-53
201403,1284,209
201503,1225,150
