Kentucky, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1146,163
189601,971,-12
189701,1095,112
189801,833,-150
189901,1007,24
190001,920,-63
190101,941,-42
190201,1026,43
190301,1007,24
190401,1080,97
190501,1205,222
190601,842,-141
190701,736,-247
190801,988,5
190901,870,-113
191001,1011,28
191101,831,-152
191201,1259,276
191301,756,-227
191401,846,-137
191501,1050,67
191601,791,-192
191701,936,-47
191801,1419,436
191901,900,-83
192001,1044,61
192101,843,-140
192201,1003,20
192301,807,-176
192401,1093,110
192501,964,-19
192601,1007,24
192701,968,-15
192801,993,10
192901,997,14
193001,989,6
193101,907,-76
193201,711,-272
193301,729,-254
193401,828,-155
193501,920,-63
193601,1164,181
193701,725,-258
193801,953,-30
193901,824,-159
194001,1408,425
194101,937,-46
194201,1056,73
194301,900,-83
194401,906,-77
194501,1093,110
194601,933,-50
194701,814,-169
194801,1236,253
194901,727,-256
195001,679,-304
195101,907,-76
195201,787,-196
195301,793,-190
195401,929,-54
195501,1006,23
195601,1056,73
195701,1036,53
195801,1067,84
195901,1042,59
196001,910,-73
196101,1134,151
196201,1067,84
196301,1202,219
196401,963,-20
196501,953,-30
196601,1172,189
196701,867,-116
196801,1103,120
196901,1043,60
197001,1209,226
197101,1064,81
197201,918,-65
197301,984,1
197401,783,-200
197501,851,-132
197601,1092,109
197701,1483,500
197801,1327,344
197901,1252,269
198001,959,-24
198101,1146,163
198201,1134,151
198301,975,-8
198401,1149,166
198501,1242,259
198601,992,9
198701,1012,29
198801,1087,104
198901,774,-209
199001,737,-246
199101,958,-25
199201,918,-65
199301,854,-129
199401,1188,205
199501,938,-45
199601,1020,37
199701,1016,33
199801,759,-224
199901,861,-122
200001,977,-6
200101,1036,53
200201,840,-143
200301,1147,164
200401,1018,35
200501,815,-168
200601,693,-290
200701,841,-142
200801,989,6
200901,1089,106
201001,1096,113
201101,1088,105
201201,822,-161
201301,883,-100
201401,1193,210
201501,1024,41
