North Carolina, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,270,51
189604,115,-104
189704,222,3
189804,337,118
189904,277,58
190004,225,6
190104,395,176
190204,283,64
190304,257,38
190404,310,91
190504,227,8
190604,168,-51
190704,423,204
190804,136,-83
190904,191,-28
191004,200,-19
191104,312,93
191204,167,-52
191304,232,13
191404,214,-5
191504,194,-25
191604,256,37
191704,175,-44
191804,285,66
191904,227,8
192004,247,28
192104,165,-54
192204,163,-56
192304,258,39
192404,255,36
192504,143,-76
192604,269,50
192704,213,-6
192804,293,74
192904,151,-68
193004,199,-20
193104,270,51
193204,235,16
193304,228,9
193404,192,-27
193504,249,30
193604,279,60
193704,242,23
193804,189,-30
193904,226,7
194004,265,46
194104,154,-65
194204,161,-58
194304,258,39
194404,226,7
194504,128,-91
194604,189,-30
194704,154,-65
194804,139,-80
194904,246,27
195004,260,41
195104,240,21
195204,208,-11
195304,214,-5
195404,113,-106
195504,129,-90
195604,265,46
195704,134,-85
195804,219,0
195904,174,-45
196004,144,-75
196104,356,137
196204,270,51
196304,169,-50
196404,201,-18
196504,206,-13
196604,273,54
196704,149,-70
196804,210,-9
196904,191,-28
197004,170,-49
197104,262,43
197204,238,19
197304,251,32
197404,194,-25
197504,270,51
197604,180,-39
197704,135,-84
197804,196,-23
197904,190,-29
198004,196,-23
198104,130,-89
198204,284,65
198304,334,115
198404,291,72
198504,142,-77
198604,158,-61
198704,288,69
198804,236,17
198904,244,25
199004,215,-4
199104,151,-68
199204,227,8
199304,280,61
199404,135,-84
199504,175,-44
199604,230,11
199704,309,90
199804,198,-21
199904,150,-69
200004,245,26
200104,163,-56
200204,109,-110
200304,226,7
200404,190,-29
200504,219,0
200604,121,-98
200704,228,9
200804,201,-18
200904,192,-27
201004,130,-89
201104,131,-88
201204,182,-37
201304,190,-29
201404,183,-36
201504,164,-55
