California, Heating Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,170,-30
189605,223,23
189705,155,-45
189805,250,50
189905,292,92
190005,160,-40
190105,226,26
190205,260,60
190305,213,13
190405,172,-28
190505,287,87
190605,287,87
190705,249,49
190805,314,114
190905,278,78
191005,150,-50
191105,287,87
191205,225,25
191305,221,21
191405,218,18
191505,273,73
191605,256,56
191705,335,135
191805,291,91
191905,181,-19
192005,211,11
192105,307,107
192205,191,-9
192305,188,-12
192405,129,-71
192505,188,-12
192605,150,-50
192705,206,6
192805,133,-67
192905,169,-31
193005,291,91
193105,97,-103
193205,197,-3
193305,320,120
193405,119,-81
193505,225,25
193605,146,-54
193705,170,-30
193805,193,-7
193905,179,-21
194005,128,-72
194105,138,-62
194205,242,42
194305,157,-43
194405,206,6
194505,229,29
194605,212,12
194705,130,-70
194805,246,46
194905,201,1
195005,215,15
195105,190,-10
195205,149,-51
195305,296,96
195405,159,-41
195505,227,27
195605,194,-6
195705,230,30
195805,135,-65
195905,219,19
196005,187,-13
196105,252,52
196205,254,54
196305,196,-4
196405,265,65
196505,225,25
196605,155,-45
196705,185,-15
196805,196,-4
196905,149,-51
197005,149,-51
197105,273,73
197205,162,-38
197305,140,-60
197405,196,-4
197505,203,3
197605,151,-49
197705,317,117
197805,154,-46
197905,154,-46
198005,261,61
198105,162,-38
198205,179,-21
198305,170,-30
198405,98,-102
198505,191,-9
198605,163,-37
198705,126,-74
198805,183,-17
198905,174,-26
199005,193,-7
199105,246,46
199205,83,-117
199305,140,-60
199405,192,-8
199505,246,46
199605,137,-63
199705,58,-142
199805,304,104
199905,211,11
200005,121,-79
200105,69,-131
200205,179,-21
200305,163,-37
200405,126,-74
200505,145,-55
200605,121,-79
200705,135,-65
200805,167,-33
200905,89,-111
201005,247,47
201105,240,40
201205,130,-70
201305,112,-88
201405,91,-109
201505,193,-7
