Montana, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,1373,34
189612,1057,-282
189712,1370,31
189812,1412,73
189912,1332,-7
190012,1121,-218
190112,1276,-63
190212,1397,58
190312,1212,-127
190412,1214,-125
190512,1295,-44
190612,1267,-72
190712,1245,-94
190812,1326,-13
190912,1597,258
191012,1265,-74
191112,1387,48
191212,1236,-103
191312,1312,-27
191412,1568,229
191512,1304,-35
191612,1630,291
191712,1353,14
191812,1226,-113
191912,1564,225
192012,1284,-55
192112,1402,63
192212,1553,214
192312,1315,-24
192412,1645,306
192512,1126,-213
192612,1376,37
192712,1716,377
192812,1349,10
192912,1305,-34
193012,1258,-81
193112,1327,-12
193212,1544,205
193312,1245,-94
193412,1279,-60
193512,1242,-97
193612,1312,-27
193712,1317,-22
193812,1233,-106
193912,1075,-264
194012,1193,-146
194112,1270,-69
194212,1263,-76
194312,1264,-75
194412,1392,53
194512,1405,66
194612,1280,-59
194712,1255,-84
194812,1585,246
194912,1436,97
195012,1188,-151
195112,1570,231
195212,1255,-84
195312,1167,-172
195412,1224,-115
195512,1455,116
195612,1219,-120
195712,1095,-244
195812,1241,-98
195912,1178,-161
196012,1304,-35
196112,1426,87
196212,1142,-197
196312,1394,55
196412,1516,177
196512,1242,-97
196612,1271,-68
196712,1443,104
196812,1517,178
196912,1235,-104
197012,1391,52
197112,1504,165
197212,1544,205
197312,1212,-127
197412,1222,-117
197512,1228,-111
197612,1210,-129
197712,1420,81
197812,1602,263
197912,1120,-219
198012,1194,-145
198112,1294,-45
198212,1326,-13
198312,1816,477
198412,1547,208
198512,1421,82
198612,1259,-80
198712,1286,-53
198812,1291,-48
198912,1327,-12
199012,1593,254
199112,1184,-155
199212,1509,170
199312,1203,-136
199412,1263,-76
199512,1305,-34
199612,1461,122
199712,1242,-97
199812,1343,4
199912,1120,-219
200012,1436,97
200112,1308,-31
200212,1172,-167
200312,1228,-111
200412,1146,-193
200512,1359,20
200612,1224,-115
200712,1320,-19
200812,1517,178
200912,1563,224
201012,1353,14
201112,1214,-125
201212,1300,-39
201312,1434,95
201412,1220,-119
201512,1265,-74
