New Mexico, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,1038,105
189612,858,-75
189712,979,46
189812,1132,199
189912,926,-7
190012,909,-24
190112,915,-18
190212,939,6
190312,970,37
190412,969,36
190512,1122,189
190612,799,-134
190712,885,-48
190812,916,-17
190912,1172,239
191012,862,-71
191112,1119,186
191212,1115,182
191312,1082,149
191412,1033,100
191512,915,-18
191612,986,53
191712,782,-151
191812,1090,157
191912,869,-64
192012,985,52
192112,774,-159
192212,807,-126
192312,997,64
192412,1049,116
192512,1004,71
192612,979,46
192712,1037,104
192812,972,39
192912,894,-39
193012,1052,119
193112,1031,98
193212,1093,160
193312,794,-139
193412,873,-60
193512,950,17
193612,906,-27
193712,890,-43
193812,873,-60
193912,819,-114
194012,818,-115
194112,871,-62
194212,818,-115
194312,1010,77
194412,952,19
194512,998,65
194612,800,-133
194712,998,65
194812,856,-77
194912,973,40
195012,795,-138
195112,928,-5
195212,997,64
195312,1068,135
195412,910,-23
195512,818,-115
195612,936,3
195712,861,-72
195812,822,-111
195912,888,-45
196012,1072,139
196112,959,26
196212,861,-72
196312,975,42
196412,933,0
196512,873,-60
196612,946,13
196712,1044,111
196812,1003,70
196912,854,-79
197012,851,-82
197112,966,33
197212,950,17
197312,911,-22
197412,1023,90
197512,909,-24
197612,996,63
197712,772,-161
197812,1003,70
197912,892,-41
198012,752,-181
198112,800,-133
198212,968,35
198312,926,-7
198412,887,-46
198512,905,-28
198612,933,0
198712,982,49
198812,965,32
198912,974,41
199012,994,61
199112,930,-3
199212,997,64
199312,907,-26
199412,814,-119
199512,826,-107
199612,851,-82
199712,1023,90
199812,844,-89
199912,941,8
200012,891,-42
200112,928,-5
200212,928,-5
200312,863,-70
200412,900,-33
200512,852,-81
200612,933,0
200712,909,-24
200812,844,-89
200912,1000,67
201012,741,-192
201112,1024,91
201212,885,-48
201312,925,-8
201412,825,-108
201512,887,-46
