Delaware, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,847,-71
189612,1001,83
189712,886,-32
189812,935,17
189912,914,-4
190012,942,24
190112,988,70
190212,995,77
190312,1092,174
190412,1147,229
190512,875,-43
190612,925,7
190712,863,-55
190812,927,9
190912,1085,167
191012,1150,232
191112,793,-125
191212,841,-77
191312,835,-83
191412,1036,118
191512,1004,86
191612,990,72
191712,1184,266
191812,801,-117
191912,1084,166
192012,856,-62
192112,958,40
192212,932,14
192312,699,-219
192412,940,22
192512,945,27
192612,1075,157
192712,869,-49
192812,904,-14
192912,903,-15
193012,980,62
193112,717,-201
193212,870,-48
193312,938,20
193412,953,35
193512,1104,186
193612,834,-84
193712,962,44
193812,905,-13
193912,885,-33
194012,799,-119
194112,809,-109
194212,1036,118
194312,979,61
194412,1027,109
194512,1095,177
194612,828,-90
194712,994,76
194812,869,-49
194912,835,-83
195012,1001,83
195112,839,-79
195212,875,-43
195312,813,-105
195412,931,13
195512,1088,170
195612,702,-216
195712,821,-97
195812,1143,225
195912,830,-88
196012,1129,211
196112,968,50
196212,1073,155
196312,1123,205
196412,842,-76
196512,848,-70
196612,929,11
196712,881,-37
196812,976,58
196912,1008,90
197012,908,-10
197112,711,-207
197212,759,-159
197312,836,-82
197412,812,-106
197512,883,-35
197612,1054,136
197712,940,22
197812,832,-86
197912,828,-90
198012,968,50
198112,962,44
198212,712,-206
198312,973,55
198412,677,-241
198512,985,67
198612,850,-68
198712,812,-106
198812,911,-7
198912,1245,327
199012,725,-193
199112,780,-138
199212,839,-79
199312,914,-4
199412,739,-179
199512,1016,98
199612,762,-156
199712,826,-92
199812,730,-188
199912,781,-137
200012,1065,147
200112,664,-254
200212,925,7
200312,867,-51
200412,830,-88
200512,937,19
200612,674,-244
200712,829,-89
200812,783,-135
200912,890,-28
201012,1036,118
201112,691,-227
201212,676,-242
201312,801,-117
201412,761,-157
201512,467,-451
