South Carolina, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,641,28
189612,677,64
189712,588,-25
189812,628,15
189912,656,43
190012,637,24
190112,705,92
190212,619,6
190312,786,173
190412,668,55
190512,684,71
190612,567,-46
190712,632,19
190812,507,-106
190912,753,140
191012,777,164
191112,545,-68
191212,558,-55
191312,584,-29
191412,708,95
191512,703,90
191612,639,26
191712,884,271
191812,487,-126
191912,621,8
192012,628,15
192112,499,-114
192212,478,-135
192312,431,-182
192412,559,-54
192512,664,51
192612,521,-92
192712,610,-3
192812,610,-3
192912,626,13
193012,754,141
193112,397,-216
193212,504,-109
193312,422,-191
193412,648,35
193512,859,246
193612,573,-40
193712,679,66
193812,622,9
193912,604,-9
194012,526,-87
194112,540,-73
194212,642,29
194312,625,12
194412,750,137
194512,782,169
194612,493,-120
194712,628,15
194812,512,-101
194912,567,-46
195012,770,157
195112,539,-74
195212,660,47
195312,609,-4
195412,689,76
195512,701,88
195612,361,-252
195712,583,-30
195812,728,115
195912,604,-9
196012,777,164
196112,608,-5
196212,720,107
196312,836,223
196412,539,-74
196512,598,-15
196612,641,28
196712,493,-120
196812,721,108
196912,707,94
197012,524,-89
197112,360,-253
197212,476,-137
197312,605,-8
197412,601,-12
197512,619,6
197612,700,87
197712,636,23
197812,566,-47
197912,610,-3
198012,641,28
198112,719,106
198212,445,-168
198312,671,58
198412,390,-223
198512,688,75
198612,584,-29
198712,531,-82
198812,625,12
198912,821,208
199012,456,-157
199112,488,-125
199212,618,5
199312,656,43
199412,489,-124
199512,686,73
199612,543,-70
199712,613,0
199812,438,-175
199912,572,-41
200012,828,215
200112,426,-187
200212,651,38
200312,686,73
200412,611,-2
200512,654,41
200612,451,-162
200712,424,-189
200812,457,-156
200912,637,24
201012,835,222
201112,461,-152
201212,437,-176
201312,485,-128
201412,504,-109
201512,261,-352
