Utah, Heating Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,1046,116
189603,979,49
189703,1194,264
189803,1102,172
189903,977,47
190003,752,-178
190103,992,62
190203,1051,121
190303,997,67
190403,930,0
190503,824,-106
190603,1007,77
190703,835,-95
190803,917,-13
190903,1002,72
191003,706,-224
191103,859,-71
191203,984,54
191303,1049,119
191403,849,-81
191503,873,-57
191603,838,-92
191703,1228,298
191803,818,-112
191903,932,2
192003,996,66
192103,799,-131
192203,1108,178
192303,1105,175
192403,1083,153
192503,846,-84
192603,867,-63
192703,946,16
192803,816,-114
192903,969,39
193003,898,-32
193103,951,21
193203,995,65
193303,964,34
193403,667,-263
193503,974,44
193603,956,26
193703,966,36
193803,933,3
193903,905,-25
194003,800,-130
194103,859,-71
194203,1083,153
194303,931,1
194403,1073,143
194503,993,63
194603,859,-71
194703,832,-98
194803,1129,199
194903,921,-9
195003,947,17
195103,1023,93
195203,1180,250
195303,853,-77
195403,978,48
195503,1090,160
195603,907,-23
195703,869,-61
195803,1013,83
195903,922,-8
196003,872,-58
196103,913,-17
196203,1069,139
196303,945,15
196403,1193,263
196503,1042,112
196603,907,-23
196703,843,-87
196803,842,-88
196903,1106,176
197003,975,45
197103,969,39
197203,741,-189
197303,1016,86
197403,805,-125
197503,969,39
197603,1080,150
197703,1035,105
197803,772,-158
197903,951,21
198003,980,50
198103,869,-61
198203,914,-16
198303,876,-54
198403,1022,92
198503,1022,92
198603,704,-226
198703,926,-4
198803,954,24
198903,781,-149
199003,799,-131
199103,943,13
199203,746,-184
199303,847,-83
199403,772,-158
199503,866,-64
199603,849,-81
199703,811,-119
199803,912,-18
199903,800,-130
200003,880,-50
200103,797,-133
200203,990,60
200303,833,-97
200403,692,-238
200503,885,-45
200603,946,16
200703,741,-189
200803,966,36
200903,888,-42
201003,885,-45
201103,878,-52
201203,739,-191
201303,829,-101
201403,803,-127
201503,672,-258
