Montana, Heating Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,373,89
189606,225,-59
189706,286,2
189806,283,-1
189906,332,48
190006,155,-129
190106,428,144
190206,357,73
190306,222,-62
190406,309,25
190506,355,71
190606,355,71
190706,371,87
190806,371,87
190906,274,-10
191006,235,-49
191106,229,-55
191206,235,-49
191306,245,-39
191406,310,26
191506,402,118
191606,361,77
191706,344,60
191806,154,-130
191906,177,-107
192006,333,49
192106,197,-87
192206,186,-98
192306,292,8
192406,339,55
192506,271,-13
192606,255,-29
192706,274,-10
192806,377,93
192906,304,20
193006,276,-8
193106,186,-98
193206,243,-41
193306,166,-118
193406,268,-16
193506,299,15
193606,182,-102
193706,275,-9
193806,234,-50
193906,373,89
194006,196,-88
194106,251,-33
194206,377,93
194306,381,97
194406,339,55
194506,385,101
194606,298,14
194706,373,89
194806,244,-40
194906,286,2
195006,340,56
195106,435,151
195206,272,-12
195306,328,44
195406,379,95
195506,306,22
195606,232,-52
195706,280,-4
195806,294,10
195906,236,-48
196006,265,-19
196106,139,-145
196206,277,-7
196306,288,4
196406,309,25
196506,319,35
196606,324,40
196706,316,32
196806,316,32
196906,332,48
197006,201,-83
197106,302,18
197206,229,-55
197306,264,-20
197406,189,-95
197506,355,71
197606,341,57
197706,188,-96
197806,269,-15
197906,252,-32
198006,285,1
198106,348,64
198206,289,5
198306,296,12
198406,310,26
198506,266,-18
198606,154,-130
198706,197,-87
198806,122,-162
198906,253,-31
199006,272,-12
199106,303,19
199206,197,-87
199306,338,54
199406,251,-33
199506,305,21
199606,230,-54
199706,249,-35
199806,380,96
199906,317,33
200006,271,-13
200106,278,-6
200206,250,-34
200306,260,-24
200406,309,25
200506,311,27
200606,194,-90
200706,218,-66
200806,310,26
200906,308,24
201006,302,18
201106,335,51
201206,249,-35
201306,246,-38
201406,317,33
201506,128,-156
