Illinois, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,415,-67
189604,292,-190
189704,518,36
189804,531,49
189904,407,-75
190004,445,-37
190104,520,38
190204,527,45
190304,464,-18
190404,653,171
190504,494,12
190604,405,-77
190704,723,241
190804,470,-12
190904,571,89
191004,432,-50
191104,557,75
191204,457,-25
191304,460,-22
191404,471,-11
191504,276,-206
191604,511,29
191704,570,88
191804,614,132
191904,464,-18
192004,654,172
192104,365,-117
192204,464,-18
192304,523,41
192404,464,-18
192504,322,-160
192604,672,190
192704,486,4
192804,599,117
192904,416,-66
193004,420,-62
193104,458,-24
193204,498,16
193304,508,26
193404,466,-16
193504,567,85
193604,603,121
193704,528,46
193804,445,-37
193904,579,97
194004,548,66
194104,350,-132
194204,350,-132
194304,534,52
194404,572,90
194504,448,-34
194604,392,-90
194704,511,29
194804,354,-128
194904,513,31
195004,672,190
195104,560,78
195204,433,-49
195304,571,89
195404,355,-127
195504,290,-192
195604,530,48
195704,467,-15
195804,453,-29
195904,477,-5
196004,388,-94
196104,626,144
196204,487,5
196304,389,-93
196404,433,-49
196504,490,8
196604,555,73
196704,432,-50
196804,419,-63
196904,434,-48
197004,424,-58
197104,476,-6
197204,552,70
197304,485,3
197404,395,-87
197504,608,126
197604,391,-91
197704,300,-182
197804,455,-27
197904,561,79
198004,511,29
198104,337,-145
198204,604,122
198304,594,112
198404,510,28
198504,317,-165
198604,342,-140
198704,407,-75
198804,467,-15
198904,499,17
199004,461,-21
199104,350,-132
199204,523,41
199304,546,64
199404,407,-75
199504,546,64
199604,556,74
199704,576,94
199804,430,-52
199904,397,-85
200004,473,-9
200104,316,-166
200204,428,-54
200304,433,-49
200404,394,-88
200504,350,-132
200604,322,-160
200704,510,28
200804,442,-40
200904,488,6
201004,274,-208
201104,472,-10
201204,409,-73
201304,523,41
201404,465,-17
201504,401,-81
