Colorado, Heating Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,211,-26
189609,266,29
189709,137,-100
189809,274,37
189909,197,-40
190009,262,25
190109,263,26
190209,278,41
190309,297,60
190409,230,-7
190509,199,-38
190609,263,26
190709,243,6
190809,193,-44
190909,263,26
191009,183,-54
191109,176,-61
191209,429,192
191309,328,91
191409,202,-35
191509,266,29
191609,286,49
191709,226,-11
191809,325,88
191909,177,-60
192009,266,29
192109,214,-23
192209,178,-59
192309,299,62
192409,295,58
192509,223,-14
192609,264,27
192709,270,33
192809,255,18
192909,326,89
193009,251,14
193109,144,-93
193209,237,0
193309,145,-92
193409,298,61
193509,228,-9
193609,220,-17
193709,174,-63
193809,196,-41
193909,157,-80
194009,175,-62
194109,282,45
194209,268,31
194309,239,2
194409,224,-13
194509,292,55
194609,222,-15
194709,158,-79
194809,147,-90
194909,233,-4
195009,276,39
195109,270,33
195209,184,-53
195309,174,-63
195409,164,-73
195509,206,-31
195609,177,-60
195709,294,57
195809,194,-43
195909,286,49
196009,184,-53
196109,382,145
196209,230,-7
196309,144,-93
196409,249,12
196509,413,176
196609,211,-26
196709,249,12
196809,278,41
196909,185,-52
197009,297,60
197109,337,100
197209,245,8
197309,305,68
197409,311,74
197509,287,50
197609,245,8
197709,166,-71
197809,198,-39
197909,168,-69
198009,192,-45
198109,166,-71
198209,239,2
198309,168,-69
198409,261,24
198509,318,81
198609,286,49
198709,253,16
198809,255,18
198909,239,2
199009,141,-96
199109,227,-10
199209,195,-42
199309,301,64
199409,178,-59
199509,235,-2
199609,272,35
199709,168,-69
199809,112,-125
199909,298,61
200009,192,-45
200109,161,-76
200209,200,-37
200309,266,29
200409,215,-22
200509,158,-79
200609,337,100
200709,173,-64
200809,244,7
200909,230,-7
201009,144,-93
201109,208,-29
201209,174,-63
201309,147,-90
201409,175,-62
201509,114,-123
