Idaho, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,526,-75
189604,694,93
189704,571,-30
189804,510,-91
189904,643,42
190004,528,-73
190104,671,70
190204,639,38
190304,670,69
190404,577,-24
190504,537,-64
190604,524,-77
190704,600,-1
190804,539,-62
190904,707,106
191004,452,-149
191104,668,67
191204,646,45
191304,581,-20
191404,552,-49
191504,433,-168
191604,555,-46
191704,744,143
191804,646,45
191904,545,-56
192004,725,124
192104,687,86
192204,752,151
192304,626,25
192404,621,20
192504,532,-69
192604,438,-163
192704,658,57
192804,682,81
192904,706,105
193004,440,-161
193104,581,-20
193204,591,-10
193304,654,53
193404,382,-219
193504,646,45
193604,528,-73
193704,677,76
193804,574,-27
193904,507,-94
194004,553,-48
194104,579,-22
194204,538,-63
194304,466,-135
194404,619,18
194504,701,100
194604,515,-86
194704,588,-13
194804,639,38
194904,493,-108
195004,652,51
195104,561,-40
195204,542,-59
195304,667,66
195404,583,-18
195504,744,143
195604,562,-39
195704,620,19
195804,670,69
195904,562,-39
196004,585,-16
196104,638,37
196204,508,-93
196304,677,76
196404,695,94
196504,557,-44
196604,618,17
196704,743,142
196804,700,99
196904,569,-32
197004,780,179
197104,646,45
197204,678,77
197304,657,56
197404,622,21
197504,795,194
197604,653,52
197704,489,-112
197804,608,7
197904,637,36
198004,513,-88
198104,568,-33
198204,732,131
198304,690,89
198404,681,80
198504,524,-77
198604,612,11
198704,426,-175
198804,507,-94
198904,507,-94
199004,450,-151
199104,642,41
199204,466,-135
199304,644,43
199404,515,-86
199504,635,34
199604,593,-8
199704,669,68
199804,602,1
199904,673,72
200004,485,-116
200104,636,35
200204,588,-13
200304,608,7
200404,498,-103
200504,587,-14
200604,556,-45
200704,555,-46
200804,743,142
200904,614,13
201004,642,41
201104,740,139
201204,504,-97
201304,621,20
201404,591,-10
201504,569,-32
