South Carolina, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,705,55
189601,710,60
189701,754,104
189801,547,-103
189901,672,22
190001,679,29
190101,662,12
190201,740,90
190301,720,70
190401,801,151
190501,787,137
190601,600,-50
190701,435,-215
190801,687,37
190901,536,-114
191001,675,25
191101,542,-108
191201,821,171
191301,438,-212
191401,629,-21
191501,680,30
191601,477,-173
191701,534,-116
191801,906,256
191901,608,-42
192001,640,-10
192101,606,-44
192201,687,37
192301,545,-105
192401,707,57
192501,660,10
192601,683,33
192701,626,-24
192801,662,12
192901,591,-59
193001,596,-54
193101,675,25
193201,389,-261
193301,468,-182
193401,579,-71
193501,613,-37
193601,763,113
193701,366,-284
193801,650,0
193901,567,-83
194001,986,336
194101,662,12
194201,670,20
194301,587,-63
194401,650,0
194501,660,10
194601,607,-43
194701,508,-142
194801,807,157
194901,396,-254
195001,349,-301
195101,634,-16
195201,459,-191
195301,534,-116
195401,589,-61
195501,679,29
195601,732,82
195701,582,-68
195801,825,175
195901,688,38
196001,649,-1
196101,775,125
196201,693,43
196301,771,121
196401,700,50
196501,630,-20
196601,793,143
196701,600,-50
196801,793,143
196901,743,93
197001,858,208
197101,669,19
197201,497,-153
197301,665,15
197401,338,-312
197501,523,-127
197601,739,89
197701,981,331
197801,867,217
197901,759,109
198001,637,-13
198101,816,166
198201,784,134
198301,756,106
198401,736,86
198501,811,161
198601,716,66
198701,700,50
198801,820,170
198901,523,-127
199001,478,-172
199101,614,-36
199201,612,-38
199301,545,-105
199401,753,103
199501,631,-19
199601,700,50
199701,606,-44
199801,545,-105
199901,522,-128
200001,679,29
200101,685,35
200201,578,-72
200301,734,84
200401,691,41
200501,556,-94
200601,476,-174
200701,540,-110
200801,668,18
200901,661,11
201001,764,114
201101,763,113
201201,541,-109
201301,489,-161
201401,797,147
201501,673,23
