Wyoming, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1394,222
189602,1120,-52
189702,1255,83
189802,1087,-85
189902,1579,407
190002,1268,96
190102,1342,170
190202,1108,-64
190302,1521,349
190402,1153,-19
190502,1386,214
190602,1139,-33
190702,1018,-154
190802,1178,6
190902,1203,31
191002,1346,174
191102,1282,110
191202,1215,43
191302,1447,275
191402,1258,86
191502,1105,-67
191602,1138,-34
191702,1253,81
191802,1210,38
191902,1239,67
192002,1172,0
192102,1086,-86
192202,1369,197
192302,1360,188
192402,1056,-116
192502,994,-178
192602,1035,-137
192702,1122,-50
192802,1210,38
192902,1465,293
193002,972,-200
193102,1037,-135
193202,1144,-28
193302,1421,249
193402,1003,-169
193502,1055,-117
193602,1507,335
193702,1252,80
193802,1137,-35
193902,1445,273
194002,1114,-58
194102,1082,-90
194202,1351,179
194302,1050,-122
194402,1240,68
194502,1156,-16
194602,1111,-61
194702,1200,28
194802,1265,93
194902,1325,153
195002,1054,-118
195102,1088,-84
195202,1192,20
195302,1161,-11
195402,895,-277
195502,1323,151
195602,1313,141
195702,1026,-146
195802,1047,-125
195902,1238,66
196002,1345,173
196102,1028,-144
196202,1164,-8
196302,974,-198
196402,1290,118
196502,1212,40
196602,1255,83
196702,1120,-52
196802,1083,-89
196902,1155,-17
197002,1002,-170
197102,1183,11
197202,1094,-78
197302,1213,41
197402,1104,-68
197502,1259,87
197602,1058,-114
197702,1032,-140
197802,1255,83
197902,1223,51
198002,1132,-40
198102,1067,-105
198202,1184,12
198302,1021,-151
198402,1146,-26
198502,1308,136
198602,1115,-57
198702,1045,-127
198802,1134,-38
198902,1444,272
199002,1154,-18
199102,935,-237
199202,942,-230
199302,1349,177
199402,1234,62
199502,1014,-158
199602,1111,-61
199702,1173,1
199802,1047,-125
199902,1001,-171
200002,969,-203
200102,1240,68
200202,1148,-24
200302,1232,60
200402,1138,-34
200502,1042,-130
200602,1199,27
200702,1106,-66
200802,1139,-33
200902,1039,-133
201002,1206,34
201102,1292,120
201202,1166,-6
201302,1167,-5
201402,1254,82
201502,1014,-158
