Pennsylvania, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,513,10
189604,386,-117
189704,509,6
189804,599,96
189904,463,-40
190004,508,5
190104,569,66
190204,531,28
190304,511,8
190404,625,122
190504,524,21
190604,472,-31
190704,670,167
190804,479,-24
190904,523,20
191004,398,-105
191104,590,87
191204,470,-33
191304,456,-47
191404,552,49
191504,365,-138
191604,535,32
191704,511,8
191804,522,19
191904,517,14
192004,580,77
192104,317,-186
192204,478,-25
192304,523,20
192404,575,72
192504,444,-59
192604,632,129
192704,564,61
192804,606,103
192904,443,-60
193004,548,45
193104,524,21
193204,569,66
193304,470,-33
193404,520,17
193504,564,61
193604,596,93
193704,550,47
193804,443,-60
193904,588,85
194004,635,132
194104,345,-158
194204,397,-106
194304,669,166
194404,587,84
194504,391,-112
194604,523,20
194704,482,-21
194804,452,-51
194904,511,8
195004,623,120
195104,510,7
195204,448,-55
195304,530,27
195404,384,-119
195504,382,-121
195604,582,79
195704,431,-72
195804,460,-43
195904,440,-63
196004,366,-137
196104,628,125
196204,503,0
196304,484,-19
196404,540,37
196504,577,74
196604,606,103
196704,480,-23
196804,426,-77
196904,431,-72
197004,497,-6
197104,566,63
197204,574,71
197304,483,-20
197404,437,-66
197504,650,147
197604,418,-85
197704,416,-87
197804,527,24
197904,522,19
198004,469,-34
198104,410,-93
198204,577,74
198304,546,43
198404,526,23
198504,376,-127
198604,449,-54
198704,459,-44
198804,522,19
198904,554,51
199004,452,-51
199104,410,-93
199204,506,3
199304,487,-16
199404,380,-123
199504,535,32
199604,484,-19
199704,557,54
199804,419,-84
199904,452,-51
200004,482,-21
200104,434,-69
200204,394,-109
200304,484,-19
200404,447,-56
200504,409,-94
200604,389,-114
200704,554,51
200804,381,-122
200904,427,-76
201004,339,-164
201104,394,-109
201204,464,-39
201304,443,-60
201404,478,-25
201504,444,-59
