Illinois, Heating Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,177,-38
189605,82,-133
189705,272,57
189805,211,-4
189905,181,-34
190005,161,-54
190105,231,16
190205,150,-65
190305,162,-53
190405,220,5
190505,216,1
190605,193,-22
190705,375,160
190805,203,-12
190905,265,50
191005,334,119
191105,104,-111
191205,170,-45
191305,220,5
191405,162,-53
191505,308,93
191605,204,-11
191705,369,154
191805,132,-83
191905,280,65
192005,260,45
192105,155,-60
192205,129,-86
192305,254,39
192405,355,140
192505,293,78
192605,186,-29
192705,265,50
192805,197,-18
192905,273,58
193005,183,-32
193105,293,78
193205,182,-33
193305,187,-28
193405,104,-111
193505,357,142
193605,123,-92
193705,200,-15
193805,211,-4
193905,141,-74
194005,293,78
194105,134,-81
194205,206,-9
194305,261,46
194405,122,-93
194505,342,127
194605,272,57
194705,316,101
194805,284,69
194905,174,-41
195005,192,-23
195105,169,-46
195205,224,9
195305,192,-23
195405,302,87
195505,159,-56
195605,190,-25
195705,228,13
195805,192,-23
195905,119,-96
196005,261,46
196105,298,83
196205,98,-117
196305,240,25
196405,116,-99
196505,120,-95
196605,323,108
196705,316,101
196805,271,56
196905,196,-19
197005,152,-63
197105,264,49
197205,170,-45
197305,288,73
197405,258,43
197505,141,-74
197605,286,71
197705,79,-136
197805,223,8
197905,208,-7
198005,177,-38
198105,285,70
198205,105,-110
198305,290,75
198405,266,51
198505,147,-68
198605,174,-41
198705,114,-101
198805,153,-62
198905,245,30
199005,279,64
199105,90,-125
199205,220,5
199305,172,-43
199405,224,9
199505,246,31
199605,264,49
199705,328,113
199805,106,-109
199905,152,-63
200005,145,-70
200105,153,-62
200205,292,77
200305,240,25
200405,162,-53
200505,239,24
200605,198,-17
200705,113,-102
200805,279,64
200905,190,-25
201005,157,-58
201105,205,-10
201205,108,-107
201305,162,-53
201405,184,-31
201505,157,-58
