Ohio, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1351,158
189601,1165,-28
189701,1276,83
189801,1063,-130
189901,1201,8
190001,1101,-92
190101,1161,-32
190201,1226,33
190301,1228,35
190401,1428,235
190501,1366,173
190601,964,-229
190701,1065,-128
190801,1166,-27
190901,1066,-127
191001,1208,15
191101,1055,-138
191201,1516,323
191301,955,-238
191401,1042,-151
191501,1268,75
191601,977,-216
191701,1212,19
191801,1627,434
191901,1055,-138
192001,1395,202
192101,1053,-140
192201,1267,74
192301,1080,-113
192401,1299,106
192501,1244,51
192601,1239,46
192701,1212,19
192801,1179,-14
192901,1278,85
193001,1212,19
193101,1096,-97
193201,842,-351
193301,905,-288
193401,1047,-146
193501,1154,-39
193601,1372,179
193701,961,-232
193801,1150,-43
193901,1051,-142
194001,1556,363
194101,1161,-32
194201,1201,8
194301,1165,-28
194401,1072,-121
194501,1412,219
194601,1114,-79
194701,1010,-183
194801,1427,234
194901,948,-245
195001,873,-320
195101,1111,-82
195201,1017,-176
195301,1005,-188
195401,1119,-74
195501,1211,18
195601,1238,45
195701,1315,122
195801,1216,23
195901,1290,97
196001,1086,-107
196101,1342,149
196201,1276,83
196301,1430,237
196401,1128,-65
196501,1198,5
196601,1337,144
196701,1043,-150
196801,1335,142
196901,1242,49
197001,1428,235
197101,1320,127
197201,1176,-17
197301,1109,-84
197401,1060,-133
197501,1056,-137
197601,1310,117
197701,1682,489
197801,1463,270
197901,1403,210
198001,1188,-5
198101,1370,177
198201,1412,219
198301,1123,-70
198401,1359,166
198501,1366,173
198601,1176,-17
198701,1161,-32
198801,1252,59
198901,945,-248
199001,899,-294
199101,1152,-41
199201,1097,-96
199301,1029,-164
199401,1417,224
199501,1124,-69
199601,1240,47
199701,1221,28
199801,916,-277
199901,1149,-44
200001,1205,12
200101,1165,-28
200201,960,-233
200301,1358,165
200401,1302,109
200501,1118,-75
200601,822,-371
200701,1002,-191
200801,1112,-81
200901,1379,186
201001,1245,52
201101,1296,103
201201,1028,-165
201301,1077,-116
201401,1402,209
201501,1270,77
