Nebraska, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1518,171
189601,1193,-154
189701,1406,59
189801,1221,-126
189901,1350,3
190001,1142,-205
190101,1241,-106
190201,1288,-59
190301,1249,-98
190401,1377,30
190501,1595,248
190601,1140,-207
190701,1438,91
190801,1129,-218
190901,1359,12
191001,1406,59
191101,1259,-88
191201,1718,371
191301,1355,8
191401,1085,-262
191501,1436,89
191601,1547,200
191701,1358,11
191801,1664,317
191901,1111,-236
192001,1281,-66
192101,1108,-239
192201,1378,31
192301,1093,-254
192401,1544,197
192501,1451,104
192601,1240,-107
192701,1255,-92
192801,1172,-175
192901,1578,231
193001,1692,345
193101,1057,-290
193201,1473,126
193301,1007,-340
193401,1115,-232
193501,1257,-90
193601,1628,281
193701,1740,393
193801,1228,-119
193901,1058,-289
194001,1782,435
194101,1266,-81
194201,1277,-70
194301,1419,72
194401,1110,-237
194501,1224,-123
194601,1190,-157
194701,1170,-177
194801,1383,36
194901,1628,281
195001,1506,159
195101,1369,22
195201,1301,-46
195301,1240,-107
195401,1397,50
195501,1319,-28
195601,1409,62
195701,1522,175
195801,1229,-118
195901,1432,85
196001,1450,103
196101,1277,-70
196201,1461,114
196301,1655,308
196401,1150,-197
196501,1300,-47
196601,1524,177
196701,1288,-59
196801,1335,-12
196901,1508,161
197001,1504,157
197101,1435,88
197201,1395,48
197301,1310,-37
197401,1471,124
197501,1305,-42
197601,1289,-58
197701,1568,221
197801,1683,336
197901,1770,423
198001,1305,-42
198101,1141,-206
198201,1620,273
198301,1208,-139
198401,1322,-25
198501,1426,79
198601,1029,-318
198701,1120,-227
198801,1443,96
198901,1032,-315
199001,1007,-340
199101,1450,103
199201,1008,-339
199301,1461,114
199401,1394,47
199501,1283,-64
199601,1436,89
199701,1386,39
199801,1219,-128
199901,1264,-83
200001,1142,-205
200101,1200,-147
200201,1085,-262
200301,1239,-108
200401,1327,-20
200501,1345,-2
200601,870,-477
200701,1318,-29
200801,1373,26
200901,1277,-70
201001,1433,86
201101,1441,94
201201,1060,-287
201301,1234,-113
201401,1293,-54
201501,1180,-167
