Louisiana, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,517,40
189601,526,49
189701,563,86
189801,367,-110
189901,496,19
190001,504,27
190101,421,-56
190201,537,60
190301,540,63
190401,571,94
190501,614,137
190601,478,1
190701,251,-226
190801,481,4
190901,354,-123
191001,444,-33
191101,286,-191
191201,596,119
191301,341,-136
191401,400,-77
191501,552,75
191601,313,-164
191701,372,-105
191801,694,217
191901,551,74
192001,432,-45
192101,329,-148
192201,469,-8
192301,311,-166
192401,600,123
192501,473,-4
192601,526,49
192701,350,-127
192801,492,15
192901,408,-69
193001,524,47
193101,518,41
193201,328,-149
193301,324,-153
193401,398,-79
193501,399,-78
193601,511,34
193701,273,-204
193801,441,-36
193901,372,-105
194001,829,352
194101,426,-51
194201,577,100
194301,456,-21
194401,490,13
194501,488,11
194601,479,2
194701,440,-37
194801,694,217
194901,363,-114
195001,200,-277
195101,441,-36
195201,260,-217
195301,382,-95
195401,400,-77
195501,477,0
195601,513,36
195701,358,-119
195801,604,127
195901,560,83
196001,524,47
196101,638,161
196201,578,101
196301,641,164
196401,552,75
196501,406,-71
196601,624,147
196701,487,10
196801,529,52
196901,446,-31
197001,635,158
197101,432,-45
197201,364,-113
197301,568,91
197401,319,-158
197501,365,-112
197601,548,71
197701,759,282
197801,745,268
197901,697,220
198001,417,-60
198101,612,135
198201,468,-9
198301,547,70
198401,638,161
198501,668,191
198601,485,8
198701,552,75
198801,606,129
198901,322,-155
199001,356,-121
199101,505,28
199201,512,35
199301,414,-63
199401,539,62
199501,454,-23
199601,484,7
199701,465,-12
199801,376,-101
199901,353,-124
200001,387,-90
200101,577,100
200201,420,-57
200301,582,105
200401,455,-22
200501,351,-126
200601,321,-156
200701,462,-15
200801,498,21
200901,434,-43
201001,587,110
201101,545,68
201201,326,-151
201301,388,-89
201401,653,176
201501,533,56
