Colorado, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,1311,99
189612,1088,-124
189712,1335,123
189812,1425,213
189912,1269,57
190012,1136,-76
190112,1212,0
190212,1232,20
190312,1144,-68
190412,1147,-65
190512,1286,74
190612,1018,-194
190712,1196,-16
190812,1290,78
190912,1534,322
191012,1135,-77
191112,1402,190
191212,1312,100
191312,1459,247
191412,1443,231
191512,1199,-13
191612,1393,181
191712,1109,-103
191812,1274,62
191912,1298,86
192012,1251,39
192112,1112,-100
192212,1152,-60
192312,1273,61
192412,1455,243
192512,1220,8
192612,1313,101
192712,1399,187
192812,1321,109
192912,1159,-53
193012,1309,97
193112,1246,34
193212,1492,280
193312,969,-243
193412,1144,-68
193512,1181,-31
193612,1154,-58
193712,1221,9
193812,1208,-4
193912,1015,-197
194012,1136,-76
194112,1154,-58
194212,1118,-94
194312,1186,-26
194412,1245,33
194512,1274,62
194612,1046,-166
194712,1185,-27
194812,1233,21
194912,1184,-28
195012,1047,-165
195112,1273,61
195212,1240,28
195312,1232,20
195412,1151,-61
195512,1103,-109
195612,1135,-77
195712,1032,-180
195812,1094,-118
195912,1080,-132
196012,1245,33
196112,1316,104
196212,1099,-113
196312,1264,52
196412,1199,-13
196512,1096,-116
196612,1225,13
196712,1347,135
196812,1253,41
196912,1141,-71
197012,1145,-67
197112,1222,10
197212,1405,193
197312,1187,-25
197412,1265,53
197512,1093,-119
197612,1133,-79
197712,1089,-123
197812,1420,208
197912,1144,-68
198012,910,-302
198112,1115,-97
198212,1176,-36
198312,1489,277
198412,1149,-63
198512,1272,60
198612,1202,-10
198712,1250,38
198812,1209,-3
198912,1285,73
199012,1363,151
199112,1154,-58
199212,1320,108
199312,1147,-65
199412,1061,-151
199512,1095,-117
199612,1134,-78
199712,1221,9
199812,1192,-20
199912,1103,-109
200012,1224,12
200112,1152,-60
200212,1119,-93
200312,1104,-108
200412,1106,-106
200512,1206,-6
200612,1172,-40
200712,1318,106
200812,1239,27
200912,1377,165
201012,1048,-164
201112,1249,37
201212,1183,-29
201312,1245,33
201412,1153,-59
201512,1200,-12
