Indiana, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1389,181
189601,1178,-30
189701,1303,95
189801,1068,-140
189901,1201,-7
190001,1078,-130
190101,1151,-57
190201,1203,-5
190301,1242,34
190401,1433,225
190501,1380,172
190601,992,-216
190701,1045,-163
190801,1136,-72
190901,1104,-104
191001,1216,8
191101,1091,-117
191201,1556,348
191301,1025,-183
191401,1014,-194
191501,1306,98
191601,1033,-175
191701,1187,-21
191801,1671,463
191901,1047,-161
192001,1392,184
192101,1032,-176
192201,1265,57
192301,1052,-156
192401,1355,147
192501,1244,36
192601,1197,-11
192701,1229,21
192801,1188,-20
192901,1322,114
193001,1313,105
193101,1059,-149
193201,901,-307
193301,899,-309
193401,1022,-186
193501,1132,-76
193601,1397,189
193701,1065,-143
193801,1177,-31
193901,1023,-185
194001,1587,379
194101,1141,-67
194201,1199,-9
194301,1180,-28
194401,1048,-160
194501,1360,152
194601,1139,-69
194701,1047,-161
194801,1401,193
194901,1009,-199
195001,924,-284
195101,1135,-73
195201,1049,-159
195301,1039,-169
195401,1115,-93
195501,1203,-5
195601,1209,1
195701,1345,137
195801,1187,-21
195901,1307,99
196001,1102,-106
196101,1300,92
196201,1320,112
196301,1474,266
196401,1103,-105
196501,1184,-24
196601,1346,138
196701,1089,-119
196801,1314,106
196901,1285,77
197001,1459,251
197101,1337,129
197201,1230,22
197301,1105,-103
197401,1133,-75
197501,1064,-144
197601,1309,101
197701,1718,510
197801,1502,294
197901,1507,299
198001,1177,-31
198101,1318,110
198201,1466,258
198301,1111,-97
198401,1379,171
198501,1398,190
198601,1160,-48
198701,1194,-14
198801,1281,73
198901,953,-255
199001,895,-313
199101,1216,8
199201,1086,-122
199301,1089,-119
199401,1406,198
199501,1160,-48
199601,1251,43
199701,1317,109
199801,948,-260
199901,1200,-8
200001,1208,0
200101,1189,-19
200201,966,-242
200301,1363,155
200401,1276,68
200501,1112,-96
200601,817,-391
200701,1032,-176
200801,1170,-38
200901,1375,167
201001,1285,77
201101,1296,88
201201,1026,-182
201301,1103,-105
201401,1438,230
201501,1253,45
