Washington, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,872,-14
189612,786,-100
189712,885,-1
189812,966,80
189912,808,-78
190012,729,-157
190112,840,-46
190212,895,9
190312,856,-30
190412,814,-72
190512,868,-18
190612,856,-30
190712,834,-52
190812,952,66
190912,1057,171
191012,828,-58
191112,886,0
191212,864,-22
191312,870,-16
191412,1024,138
191512,877,-9
191612,1016,130
191712,775,-111
191812,877,-9
191912,1030,144
192012,819,-67
192112,963,77
192212,1032,146
192312,860,-26
192412,1049,163
192512,742,-144
192612,902,16
192712,1042,156
192812,921,35
192912,830,-56
193012,878,-8
193112,918,32
193212,990,104
193312,767,-119
193412,835,-51
193512,835,-51
193612,823,-63
193712,814,-72
193812,854,-32
193912,714,-172
194012,809,-77
194112,831,-55
194212,842,-44
194312,906,20
194412,944,58
194512,895,9
194612,889,3
194712,824,-62
194812,1040,154
194912,914,28
195012,733,-153
195112,1005,119
195212,839,-47
195312,793,-93
195412,861,-25
195512,963,77
195612,869,-17
195712,779,-107
195812,767,-119
195912,880,-6
196012,914,28
196112,901,15
196212,798,-88
196312,859,-27
196412,1013,127
196512,887,1
196612,755,-131
196712,889,3
196812,994,108
196912,813,-73
197012,940,54
197112,985,99
197212,995,109
197312,779,-107
197412,796,-90
197512,846,-40
197612,828,-58
197712,877,-9
197812,1016,130
197912,761,-125
198012,771,-115
198112,864,-22
198212,890,4
198312,1089,203
198412,1041,155
198512,1050,164
198612,866,-20
198712,921,35
198812,857,-29
198912,812,-74
199012,1073,187
199112,790,-96
199212,964,78
199312,854,-32
199412,867,-19
199512,844,-42
199612,947,61
199712,840,-46
199812,896,10
199912,800,-86
200012,903,17
200112,863,-23
200212,787,-99
200312,848,-38
200412,795,-91
200512,889,3
200612,874,-12
200712,896,10
200812,1012,126
200912,1007,121
201012,835,-51
201112,908,22
201212,852,-34
201312,972,86
201412,790,-96
201512,836,-50
