Washington, Heating Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,721,16
189603,777,72
189703,892,187
189803,779,74
189903,779,74
190003,577,-128
190103,696,-9
190203,732,27
190303,790,85
190403,824,119
190503,572,-133
190603,730,25
190703,770,65
190803,727,22
190903,714,9
191003,611,-94
191103,686,-19
191203,758,53
191303,809,104
191403,632,-73
191503,555,-150
191603,727,22
191703,852,147
191803,723,18
191903,710,5
192003,729,24
192103,710,5
192203,817,112
192303,741,36
192403,731,26
192503,698,-7
192603,568,-137
192703,744,39
192803,632,-73
192903,693,-12
193003,664,-41
193103,662,-43
193203,691,-14
193303,731,26
193403,544,-161
193503,799,94
193603,774,69
193703,639,-66
193803,713,8
193903,703,-2
194003,592,-113
194103,534,-171
194203,705,0
194303,766,61
194403,753,48
194503,746,41
194603,713,8
194703,621,-84
194803,765,60
194903,700,-5
195003,775,70
195103,853,148
195203,758,53
195303,707,2
195403,795,90
195503,886,181
195603,801,96
195703,716,11
195803,712,7
195903,715,10
196003,731,26
196103,671,-34
196203,783,78
196303,711,6
196403,750,45
196503,730,25
196603,710,5
196703,773,68
196803,622,-83
196903,699,-6
197003,702,-3
197103,824,119
197203,668,-37
197303,687,-18
197403,719,14
197503,783,78
197603,808,103
197703,736,31
197803,625,-80
197903,629,-76
198003,719,14
198103,602,-103
198203,723,18
198303,594,-111
198403,611,-94
198503,761,56
198603,575,-130
198703,617,-88
198803,687,-18
198903,749,44
199003,645,-60
199103,744,39
199203,541,-164
199303,660,-45
199403,609,-96
199503,667,-38
199603,672,-33
199703,698,-7
199803,634,-71
199903,709,4
200003,700,-5
200103,671,-34
200203,797,92
200303,635,-70
200403,590,-115
200503,577,-128
200603,693,-12
200703,625,-80
200803,756,51
200903,799,94
201003,637,-68
201103,704,-1
201203,752,47
201303,662,-43
201403,646,-59
201503,535,-170
