Colorado, Heating Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,421,15
189605,364,-42
189705,285,-121
189805,489,83
189905,416,10
190005,337,-69
190105,349,-57
190205,346,-60
190305,484,78
190405,419,13
190505,495,89
190605,400,-6
190705,586,180
190805,490,84
190905,500,94
191005,440,34
191105,364,-42
191205,441,35
191305,360,-46
191405,388,-18
191505,519,113
191605,453,47
191705,620,214
191805,405,-1
191905,396,-10
192005,408,2
192105,401,-5
192205,417,11
192305,436,30
192405,531,125
192505,332,-74
192605,373,-33
192705,347,-59
192805,370,-36
192905,455,49
193005,483,77
193105,467,61
193205,351,-55
193305,485,79
193405,210,-196
193505,572,166
193605,313,-93
193705,350,-56
193805,455,49
193905,318,-88
194005,342,-64
194105,324,-82
194205,443,37
194305,482,76
194405,377,-29
194505,399,-7
194605,508,102
194705,395,-11
194805,362,-44
194905,385,-21
195005,499,93
195105,389,-17
195205,398,-8
195305,500,94
195405,392,-14
195505,375,-31
195605,308,-98
195705,494,88
195805,285,-121
195905,401,-5
196005,409,3
196105,405,-1
196205,339,-67
196305,295,-111
196405,361,-45
196505,412,6
196605,330,-76
196705,487,81
196805,492,86
196905,323,-83
197005,343,-63
197105,474,68
197205,408,2
197305,446,40
197405,303,-103
197505,475,69
197605,411,5
197705,331,-75
197805,460,54
197905,464,58
198005,459,53
198105,440,34
198205,440,34
198305,526,120
198405,332,-74
198505,336,-70
198605,414,8
198705,351,-55
198805,371,-35
198905,333,-73
199005,446,40
199105,343,-63
199205,319,-87
199305,370,-36
199405,282,-124
199505,554,148
199605,320,-86
199705,383,-23
199805,315,-91
199905,438,32
200005,282,-124
200105,360,-46
200205,376,-30
200305,349,-57
200405,317,-89
200505,374,-32
200605,299,-107
200705,347,-59
200805,423,17
200905,334,-72
201005,465,59
201105,494,88
201205,307,-99
201305,380,-26
201405,388,-18
201505,480,74
