Connecticut, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,1003,-80
189612,1186,103
189712,1057,-26
189812,1132,49
189912,1026,-57
190012,1100,17
190112,1120,37
190212,1211,128
190312,1265,182
190412,1328,245
190512,1025,-58
190612,1201,118
190712,1001,-82
190812,1087,4
190912,1203,120
191012,1300,217
191112,953,-130
191212,968,-115
191312,989,-94
191412,1185,102
191512,1141,58
191612,1118,35
191712,1399,316
191812,1033,-50
191912,1254,171
192012,1015,-68
192112,1150,67
192212,1164,81
192312,883,-200
192412,1148,65
192512,1079,-4
192612,1266,183
192712,1040,-43
192812,975,-108
192912,1120,37
193012,1087,4
193112,948,-135
193212,997,-86
193312,1196,113
193412,1139,56
193512,1220,137
193612,978,-105
193712,1113,30
193812,1056,-27
193912,1058,-25
194012,1017,-66
194112,987,-96
194212,1223,140
194312,1200,117
194412,1177,94
194512,1253,170
194612,1039,-44
194712,1168,85
194812,1023,-60
194912,1012,-71
195012,1068,-15
195112,1021,-62
195212,995,-88
195312,896,-187
195412,1043,-40
195512,1270,187
195612,944,-139
195712,904,-179
195812,1292,209
195912,1009,-74
196012,1244,161
196112,1088,5
196212,1214,131
196312,1283,200
196412,1062,-21
196512,1005,-78
196612,1070,-13
196712,1020,-63
196812,1160,77
196912,1149,66
197012,1154,71
197112,961,-122
197212,1003,-80
197312,941,-142
197412,992,-91
197512,1073,-10
197612,1249,166
197712,1112,29
197812,1027,-56
197912,950,-133
198012,1201,118
198112,1083,0
198212,890,-193
198312,1100,17
198412,884,-199
198512,1139,56
198612,988,-95
198712,979,-104
198812,1088,5
198912,1427,344
199012,864,-219
199112,962,-121
199212,1030,-53
199312,1048,-35
199412,902,-181
199512,1179,96
199612,877,-206
199712,998,-85
199812,860,-223
199912,941,-142
200012,1178,95
200112,837,-246
200212,1068,-15
200312,986,-97
200412,1030,-53
200512,1099,16
200612,816,-267
200712,1056,-27
200812,991,-92
200912,1058,-25
201012,1117,34
201112,845,-238
201212,877,-206
201312,1026,-57
201412,896,-187
201512,637,-446
