Mississippi, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,763,297
189602,473,7
189702,397,-69
189802,470,4
189902,751,285
190002,556,90
190102,572,106
190202,659,193
190302,477,11
190402,404,-62
190502,727,261
190602,554,88
190702,421,-45
190802,516,50
190902,417,-49
191002,567,101
191102,288,-178
191202,625,159
191302,521,55
191402,544,78
191502,457,-9
191602,501,35
191702,437,-29
191802,354,-112
191902,463,-3
192002,480,14
192102,393,-73
192202,353,-113
192302,508,42
192402,495,29
192502,347,-119
192602,388,-78
192702,253,-213
192802,476,10
192902,581,115
193002,315,-151
193102,414,-52
193202,237,-229
193302,457,-9
193402,536,70
193502,434,-32
193602,591,125
193702,470,4
193802,306,-160
193902,392,-74
194002,556,90
194102,583,117
194202,575,109
194302,416,-50
194402,320,-146
194502,392,-74
194602,410,-56
194702,665,199
194802,470,4
194902,370,-96
195002,338,-128
195102,439,-27
195202,358,-108
195302,436,-30
195402,335,-131
195502,449,-17
195602,339,-127
195702,278,-188
195802,701,235
195902,437,-29
196002,605,139
196102,377,-89
196202,283,-183
196302,640,174
196402,603,137
196502,526,60
196602,516,50
196702,577,111
196802,682,216
196902,510,44
197002,563,97
197102,510,44
197202,471,5
197302,547,81
197402,469,3
197502,399,-67
197602,317,-149
197702,510,44
197802,741,275
197902,599,133
198002,599,133
198102,484,18
198202,515,49
198302,496,30
198402,449,-17
198502,567,101
198602,363,-103
198702,436,-30
198802,529,63
198902,507,41
199002,302,-164
199102,410,-56
199202,369,-97
199302,497,31
199402,435,-31
199502,463,-3
199602,468,2
199702,400,-66
199802,426,-40
199902,339,-127
200002,341,-125
200102,356,-110
200202,527,61
200302,503,37
200402,541,75
200502,380,-86
200602,521,55
200702,524,58
200802,418,-48
200902,407,-59
201002,670,204
201102,428,-38
201202,365,-101
201302,445,-21
201402,516,50
201502,635,169
