Illinois, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1408,323
189602,1071,-14
189702,1030,-55
189802,1073,-12
189902,1350,265
190002,1280,195
190102,1366,281
190202,1322,237
190302,1161,76
190402,1339,254
190502,1395,310
190602,1109,24
190702,1106,21
190802,1132,47
190902,974,-111
191002,1215,130
191102,970,-115
191202,1286,201
191302,1190,105
191402,1335,250
191502,911,-174
191602,1193,108
191702,1290,205
191802,1098,13
191902,1019,-66
192002,1128,43
192102,926,-159
192202,1032,-53
192302,1241,156
192402,1093,8
192502,961,-124
192602,977,-108
192702,881,-204
192802,993,-92
192902,1298,213
193002,818,-267
193102,866,-219
193202,881,-204
193302,1143,58
193402,1206,121
193502,1015,-70
193602,1459,374
193702,1123,38
193802,877,-208
193902,1109,24
194002,1059,-26
194102,1163,78
194202,1138,53
194302,1036,-49
194402,1028,-57
194502,1049,-36
194602,1015,-70
194702,1259,174
194802,1111,26
194902,1073,-12
195002,1104,19
195102,1087,2
195202,933,-152
195302,945,-140
195402,804,-281
195502,1073,-12
195602,1044,-41
195702,930,-155
195802,1311,226
195902,1122,37
196002,1149,64
196102,919,-166
196202,1118,33
196302,1302,217
196402,1057,-28
196502,1108,23
196602,1076,-9
196702,1224,139
196802,1176,91
196902,1025,-60
197002,1116,31
197102,1076,-9
197202,1149,64
197302,1019,-66
197402,1047,-38
197502,1091,6
197602,852,-233
197702,1090,5
197802,1385,300
197902,1397,312
198002,1231,146
198102,1021,-64
198202,1200,115
198302,920,-165
198402,860,-225
198502,1205,120
198602,1109,24
198702,873,-212
198802,1165,80
198902,1270,185
199002,916,-169
199102,943,-142
199202,857,-228
199302,1113,28
199402,1176,91
199502,1065,-20
199602,1059,-26
199702,976,-109
199802,736,-349
199902,838,-247
200002,861,-224
200102,1050,-35
200202,905,-180
200302,1143,58
200402,1042,-43
200502,878,-207
200602,1013,-72
200702,1307,222
200802,1182,97
200902,1000,-85
201002,1114,29
201102,1061,-24
201202,888,-197
201302,1080,-5
201402,1370,285
201502,1369,284
