Virginia, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1107,310
189602,788,-9
189702,761,-36
189802,834,37
189902,1018,221
190002,862,65
190102,957,160
190202,998,201
190302,754,-43
190402,993,196
190502,1062,265
190602,836,39
190702,933,136
190802,939,142
190902,606,-191
191002,848,51
191102,727,-70
191202,952,155
191302,784,-13
191402,945,148
191502,722,-75
191602,818,21
191702,842,45
191802,760,-37
191902,804,7
192002,901,104
192102,721,-76
192202,710,-87
192302,882,85
192402,873,76
192502,612,-185
192602,755,-42
192702,619,-178
192802,775,-22
192902,864,67
193002,648,-149
193102,738,-59
193202,603,-194
193302,750,-47
193402,1072,275
193502,808,11
193602,975,178
193702,801,4
193802,654,-143
193902,652,-145
194002,819,22
194102,917,120
194202,890,93
194302,752,-45
194402,753,-44
194502,754,-43
194602,732,-65
194702,972,175
194802,783,-14
194902,606,-191
195002,748,-49
195102,751,-46
195202,717,-80
195302,670,-127
195402,647,-150
195502,786,-11
195602,688,-109
195702,680,-117
195802,983,186
195902,747,-50
196002,815,18
196102,734,-63
196202,803,6
196302,984,187
196402,868,71
196502,809,12
196602,853,56
196702,904,107
196802,955,158
196902,845,48
197002,823,26
197102,796,-1
197202,856,59
197302,843,46
197402,782,-15
197502,726,-71
197602,568,-229
197702,805,8
197802,1053,256
197902,1065,268
198002,931,134
198102,740,-57
198202,765,-32
198302,809,12
198402,651,-146
198502,795,-2
198602,792,-5
198702,830,33
198802,794,-3
198902,772,-25
199002,577,-220
199102,665,-132
199202,698,-99
199302,851,54
199402,783,-14
199502,849,52
199602,811,14
199702,652,-145
199802,650,-147
199902,698,-99
200002,656,-141
200102,675,-122
200202,670,-127
200302,858,61
200402,804,7
200502,722,-75
200602,763,-34
200702,934,137
200802,694,-103
200902,724,-73
201002,917,120
201102,676,-121
201202,642,-155
201302,790,-7
201402,792,-5
201502,1015,218
