Michigan, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1507,156
189601,1312,-39
189701,1399,48
189801,1280,-71
189901,1408,57
190001,1259,-92
190101,1349,-2
190201,1356,5
190301,1370,19
190401,1618,267
190501,1508,157
190601,1113,-238
190701,1341,-10
190801,1318,-33
190901,1243,-108
191001,1356,5
191101,1282,-69
191201,1747,396
191301,1215,-136
191401,1210,-141
191501,1425,74
191601,1190,-161
191701,1431,80
191801,1743,392
191901,1181,-170
192001,1627,276
192101,1179,-172
192201,1410,59
192301,1305,-46
192401,1458,107
192501,1469,118
192601,1339,-12
192701,1391,40
192801,1301,-50
192901,1510,159
193001,1453,102
193101,1240,-111
193201,1012,-339
193301,1062,-289
193401,1174,-177
193501,1359,8
193601,1461,110
193701,1226,-125
193801,1372,21
193901,1249,-102
194001,1528,177
194101,1297,-54
194201,1329,-22
194301,1458,107
194401,1166,-185
194501,1548,197
194601,1268,-83
194701,1235,-116
194801,1521,170
194901,1168,-183
195001,1141,-210
195101,1298,-53
195201,1234,-117
195301,1202,-149
195401,1333,-18
195501,1333,-18
195601,1329,-22
195701,1482,131
195801,1317,-34
195901,1501,150
196001,1251,-100
196101,1421,70
196201,1467,116
196301,1615,264
196401,1205,-146
196501,1360,9
196601,1472,121
196701,1218,-133
196801,1403,52
196901,1362,11
197001,1541,190
197101,1469,118
197201,1381,30
197301,1198,-153
197401,1272,-79
197501,1207,-144
197601,1468,117
197701,1687,336
197801,1487,136
197901,1526,175
198001,1317,-34
198101,1464,113
198201,1556,205
198301,1226,-125
198401,1526,175
198501,1443,92
198601,1321,-30
198701,1265,-86
198801,1366,15
198901,1101,-250
199001,1052,-299
199101,1352,1
199201,1223,-128
199301,1234,-117
199401,1594,243
199501,1233,-118
199601,1364,13
199701,1378,27
199801,1109,-242
199901,1367,16
200001,1326,-25
200101,1244,-107
200201,1064,-287
200301,1435,84
200401,1469,118
200501,1353,2
200601,988,-363
200701,1175,-176
200801,1211,-140
200901,1540,189
201001,1305,-46
201101,1408,57
201201,1139,-212
201301,1202,-149
201401,1549,198
201501,1412,61
