New Mexico, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,966,15
189601,886,-65
189701,1043,92
189801,1048,97
189901,1037,86
190001,834,-117
190101,893,-58
190201,911,-40
190301,931,-20
190401,1038,87
190501,944,-7
190601,1000,49
190701,826,-125
190801,923,-28
190901,764,-187
191001,894,-57
191101,762,-189
191201,956,5
191301,1092,141
191401,830,-121
191501,1081,130
191601,874,-77
191701,987,36
191801,1061,110
191901,1150,199
192001,909,-42
192101,858,-93
192201,1018,67
192301,804,-147
192401,1039,88
192501,1071,120
192601,1095,144
192701,810,-141
192801,892,-59
192901,977,26
193001,1077,126
193101,997,46
193201,1111,160
193301,1027,76
193401,940,-11
193501,835,-116
193601,976,25
193701,1147,196
193801,929,-22
193901,976,25
194001,995,44
194101,923,-28
194201,922,-29
194301,884,-67
194401,1066,115
194501,932,-19
194601,1042,91
194701,1043,92
194801,1021,70
194901,1147,196
195001,872,-79
195101,945,-6
195201,822,-129
195301,776,-175
195401,878,-73
195501,1015,64
195601,801,-150
195701,833,-118
195801,998,47
195901,920,-31
196001,1062,111
196101,1019,68
196201,1042,91
196301,1086,135
196401,1074,123
196501,861,-90
196601,1083,132
196701,968,17
196801,960,9
196901,787,-164
197001,969,18
197101,938,-13
197201,904,-47
197301,1042,91
197401,950,-1
197501,994,43
197601,976,25
197701,1038,87
197801,910,-41
197901,1069,118
198001,843,-108
198101,852,-99
198201,909,-42
198301,935,-16
198401,980,29
198501,1001,50
198601,790,-161
198701,1002,51
198801,1020,69
198901,944,-7
199001,957,6
199101,971,20
199201,1030,79
199301,836,-115
199401,904,-47
199501,887,-64
199601,862,-89
199701,965,14
199801,849,-102
199901,778,-173
200001,787,-164
200101,1004,53
200201,876,-75
200301,744,-207
200401,862,-89
200501,754,-197
200601,826,-125
200701,1024,73
200801,988,37
200901,822,-129
201001,955,4
201101,945,-6
201201,808,-143
201301,1013,62
201401,869,-82
201501,893,-58
