Tennessee, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,998,303
189602,690,-5
189702,600,-95
189802,718,23
189902,969,274
190002,802,107
190102,821,126
190202,944,249
190302,691,-4
190402,703,8
190502,968,273
190602,762,67
190702,710,15
190802,753,58
190902,570,-125
191002,808,113
191102,541,-154
191202,857,162
191302,738,43
191402,771,76
191502,632,-63
191602,742,47
191702,734,39
191802,592,-103
191902,698,3
192002,742,47
192102,593,-102
192202,565,-130
192302,767,72
192402,753,58
192502,534,-161
192602,608,-87
192702,460,-235
192802,695,0
192902,829,134
193002,517,-178
193102,625,-70
193202,474,-221
193302,721,26
193402,836,141
193502,665,-30
193602,852,157
193702,719,24
193802,492,-203
193902,608,-87
194002,761,66
194102,842,147
194202,836,141
194302,655,-40
194402,568,-127
194502,668,-27
194602,629,-66
194702,943,248
194802,666,-29
194902,571,-124
195002,592,-103
195102,657,-38
195202,590,-105
195302,621,-74
195402,536,-159
195502,674,-21
195602,547,-148
195702,511,-184
195802,983,288
195902,659,-36
196002,804,109
196102,559,-136
196202,545,-150
196302,889,194
196402,813,118
196502,742,47
196602,725,30
196702,809,114
196802,922,227
196902,737,42
197002,774,79
197102,756,61
197202,731,36
197302,752,57
197402,667,-28
197502,633,-62
197602,507,-188
197702,758,63
197802,1005,310
197902,881,186
198002,869,174
198102,698,3
198202,710,15
198302,680,-15
198402,624,-71
198502,803,108
198602,595,-100
198702,643,-52
198802,760,65
198902,747,52
199002,485,-210
199102,624,-71
199202,559,-136
199302,743,48
199402,648,-47
199502,727,32
199602,725,30
199702,562,-133
199802,575,-120
199902,568,-127
200002,550,-145
200102,568,-127
200202,683,-12
200302,740,45
200402,714,19
200502,580,-115
200602,739,44
200702,809,114
200802,635,-60
200902,634,-61
201002,873,178
201102,610,-85
201202,573,-122
201302,677,-18
201402,745,50
201502,940,245
