Pennsylvania, Heating Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,10,-27
189606,41,4
189706,70,33
189806,17,-20
189906,13,-24
190006,19,-18
190106,23,-14
190206,53,16
190306,96,59
190406,33,-4
190506,31,-6
190606,21,-16
190706,101,64
190806,26,-11
190906,26,-11
191006,68,31
191106,30,-7
191206,59,22
191306,31,-6
191406,31,-6
191506,61,24
191606,95,58
191706,42,5
191806,53,16
191906,9,-28
192006,39,2
192106,18,-19
192206,18,-19
192306,13,-24
192406,58,21
192506,10,-27
192606,89,52
192706,92,55
192806,66,29
192906,37,0
193006,23,-14
193106,29,-8
193206,30,-7
193306,11,-26
193406,5,-32
193506,38,1
193606,30,-7
193706,20,-17
193806,42,5
193906,18,-19
194006,35,-2
194106,28,-9
194206,23,-14
194306,4,-33
194406,17,-20
194506,38,1
194606,49,12
194706,50,13
194806,35,-2
194906,8,-29
195006,46,9
195106,34,-3
195206,12,-25
195306,22,-15
195406,24,-13
195506,66,29
195606,30,-7
195706,12,-25
195806,93,56
195906,27,-10
196006,40,3
196106,41,4
196206,26,-11
196306,35,-2
196406,35,-2
196506,47,10
196606,26,-11
196706,15,-22
196806,41,4
196906,27,-10
197006,40,3
197106,18,-19
197206,86,49
197306,13,-24
197406,64,27
197506,30,-7
197606,14,-23
197706,64,27
197806,41,4
197906,57,20
198006,67,30
198106,28,-9
198206,70,33
198306,31,-6
198406,24,-13
198506,70,33
198606,35,-2
198706,14,-23
198806,41,4
198906,24,-13
199006,33,-4
199106,14,-23
199206,66,29
199306,33,-4
199406,12,-25
199506,20,-17
199606,19,-18
199706,36,-1
199806,37,0
199906,21,-16
200006,23,-14
200106,26,-11
200206,18,-19
200306,56,19
200406,42,5
200506,8,-29
200606,33,-4
200706,17,-20
200806,13,-24
200906,42,5
201006,11,-26
201106,16,-21
201206,28,-9
201306,19,-18
201406,20,-17
201506,22,-15
