California, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,463,-14
189602,419,-58
189702,570,93
189802,440,-37
189902,512,35
190002,432,-45
190102,469,-8
190202,482,5
190302,645,168
190402,483,6
190502,425,-52
190602,391,-86
190702,362,-115
190802,554,77
190902,537,60
191002,554,77
191102,622,145
191202,451,-26
191302,544,67
191402,466,-11
191502,515,38
191602,416,-61
191702,549,72
191802,531,54
191902,587,110
192002,489,12
192102,487,10
192202,577,100
192302,537,60
192402,365,-112
192502,436,-41
192602,415,-62
192702,468,-9
192802,464,-13
192902,585,108
193002,398,-79
193102,434,-43
193202,541,64
193302,593,116
193402,410,-67
193502,468,-9
193602,504,27
193702,561,84
193802,517,40
193902,617,140
194002,449,-28
194102,424,-53
194202,549,72
194302,431,-46
194402,569,92
194502,487,10
194602,563,86
194702,423,-54
194802,562,85
194902,627,150
195002,464,-13
195102,511,34
195202,500,23
195302,484,7
195402,372,-105
195502,555,78
195602,608,131
195702,398,-79
195802,400,-77
195902,527,50
196002,507,30
196102,418,-59
196202,532,55
196302,307,-170
196402,498,21
196502,477,0
196602,560,83
196702,437,-40
196802,352,-125
196902,571,94
197002,400,-77
197102,490,13
197202,429,-48
197302,460,-17
197402,494,17
197502,516,39
197602,461,-16
197702,377,-100
197802,446,-31
197902,536,59
198002,372,-105
198102,394,-83
198202,421,-56
198302,429,-48
198402,443,-34
198502,471,-6
198602,389,-88
198702,452,-25
198802,379,-98
198902,530,53
199002,535,58
199102,322,-155
199202,368,-109
199302,489,12
199402,503,26
199502,320,-157
199602,380,-97
199702,436,-41
199802,510,33
199902,473,-4
200002,426,-51
200102,529,52
200202,386,-91
200302,453,-24
200402,501,24
200502,421,-56
200602,397,-80
200702,435,-42
200802,456,-21
200902,471,-6
201002,436,-41
201102,522,45
201202,438,-39
201302,475,-2
201402,351,-126
201502,264,-213
