New York, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1313,80
189601,1332,99
189701,1261,28
189801,1204,-29
189901,1266,33
190001,1201,-32
190101,1247,14
190201,1306,73
190301,1249,16
190401,1478,245
190501,1368,135
190601,1043,-190
190701,1234,1
190801,1221,-12
190901,1169,-64
191001,1222,-11
191101,1166,-67
191201,1508,275
191301,960,-273
191401,1246,13
191501,1169,-64
191601,1100,-133
191701,1239,6
191801,1567,334
191901,1110,-123
192001,1498,265
192101,1165,-68
192201,1341,108
192301,1309,76
192401,1183,-50
192501,1351,118
192601,1214,-19
192701,1277,44
192801,1159,-74
192901,1245,12
193001,1193,-40
193101,1219,-14
193201,880,-353
193301,959,-274
193401,1158,-75
193501,1324,91
193601,1297,64
193701,974,-259
193801,1253,20
193901,1231,-2
194001,1475,242
194101,1298,65
194201,1265,32
194301,1312,79
194401,1164,-69
194501,1456,223
194601,1194,-39
194701,1090,-143
194801,1433,200
194901,1033,-200
195001,960,-273
195101,1116,-117
195201,1116,-117
195301,1052,-181
195401,1289,56
195501,1271,38
195601,1215,-18
195701,1370,137
195801,1230,-3
195901,1272,39
196001,1189,-44
196101,1408,175
196201,1243,10
196301,1310,77
196401,1163,-70
196501,1329,96
196601,1273,40
196701,1057,-176
196801,1392,159
196901,1249,16
197001,1480,247
197101,1381,148
197201,1156,-77
197301,1121,-112
197401,1143,-90
197501,1081,-152
197601,1384,151
197701,1498,265
197801,1316,83
197901,1226,-7
198001,1187,-46
198101,1463,230
198201,1460,227
198301,1162,-71
198401,1327,94
198501,1345,112
198601,1185,-48
198701,1224,-9
198801,1294,61
198901,1068,-165
199001,949,-284
199101,1178,-55
199201,1145,-88
199301,1095,-138
199401,1461,228
199501,1015,-218
199601,1258,25
199701,1214,-19
199801,989,-244
199901,1177,-56
200001,1243,10
200101,1187,-46
200201,967,-266
200301,1369,136
200401,1427,194
200501,1258,25
200601,943,-290
200701,1051,-182
200801,1070,-163
200901,1354,121
201001,1184,-49
201101,1286,53
201201,1032,-201
201301,1104,-129
201401,1313,80
201501,1307,74
