Michigan, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,1193,-13
189612,1186,-20
189712,1282,76
189812,1307,101
189912,1226,20
190012,1187,-19
190112,1330,124
190212,1268,62
190312,1424,218
190412,1349,143
190512,1143,-63
190612,1224,18
190712,1174,-32
190812,1209,3
190912,1353,147
191012,1370,164
191112,1073,-133
191212,1107,-99
191312,1037,-169
191412,1360,154
191512,1264,58
191612,1330,124
191712,1457,251
191812,1036,-170
191912,1441,235
192012,1103,-103
192112,1173,-33
192212,1240,34
192312,956,-250
192412,1381,175
192512,1285,79
192612,1329,123
192712,1213,7
192812,1111,-95
192912,1282,76
193012,1220,14
193112,981,-225
193212,1201,-5
193312,1230,24
193412,1293,87
193512,1331,125
193612,1106,-100
193712,1288,82
193812,1168,-38
193912,1062,-144
194012,1115,-91
194112,1004,-202
194212,1316,110
194312,1251,45
194412,1349,143
194512,1343,137
194612,1131,-75
194712,1217,11
194812,1137,-69
194912,1104,-102
195012,1348,142
195112,1246,40
195212,1070,-136
195312,1080,-126
195412,1205,-1
195512,1280,74
195612,1064,-142
195712,1072,-134
195812,1441,235
195912,1052,-154
196012,1339,133
196112,1220,14
196212,1307,101
196312,1397,191
196412,1219,13
196512,1008,-198
196612,1212,6
196712,1114,-92
196812,1233,27
196912,1250,44
197012,1190,-16
197112,1043,-163
197212,1192,-14
197312,1200,-6
197412,1132,-74
197512,1178,-28
197612,1452,246
197712,1266,60
197812,1200,-6
197912,1073,-133
198012,1280,74
198112,1191,-15
198212,931,-275
198312,1443,237
198412,1040,-166
198512,1364,158
198612,1112,-94
198712,1044,-162
198812,1178,-28
198912,1519,313
199012,1099,-107
199112,1111,-95
199212,1089,-117
199312,1167,-39
199412,1015,-191
199512,1295,89
199612,1119,-87
199712,1069,-137
199812,987,-219
199912,1099,-107
200012,1473,267
200112,955,-251
200212,1168,-38
200312,1059,-147
200412,1183,-23
200512,1259,53
200612,938,-268
200712,1176,-30
200812,1254,48
200912,1184,-22
201012,1260,54
201112,992,-214
201212,977,-229
201312,1264,58
201412,1036,-170
201512,814,-392
