Alabama, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,114,-19
189604,47,-86
189704,135,2
189804,228,95
189904,148,15
190004,103,-30
190104,241,108
190204,147,14
190304,162,29
190404,200,67
190504,111,-22
190604,88,-45
190704,248,115
190804,57,-76
190904,121,-12
191004,149,16
191104,120,-13
191204,96,-37
191304,140,7
191404,110,-23
191504,96,-37
191604,148,15
191704,113,-20
191804,166,33
191904,138,5
192004,143,10
192104,142,9
192204,71,-62
192304,131,-2
192404,135,2
192504,54,-79
192604,181,48
192704,54,-79
192804,210,77
192904,73,-60
193004,97,-36
193104,173,40
193204,113,-20
193304,152,19
193404,120,-13
193504,115,-18
193604,173,40
193704,136,3
193804,121,-12
193904,163,30
194004,160,27
194104,92,-41
194204,108,-25
194304,130,-3
194404,152,19
194504,85,-48
194604,76,-57
194704,90,-43
194804,64,-69
194904,165,32
195004,209,76
195104,167,34
195204,161,28
195304,177,44
195404,54,-79
195504,70,-63
195604,163,30
195704,86,-47
195804,123,-10
195904,137,4
196004,104,-29
196104,220,87
196204,193,60
196304,80,-53
196404,89,-44
196504,75,-58
196604,118,-15
196704,54,-79
196804,115,-18
196904,106,-27
197004,81,-52
197104,158,25
197204,114,-19
197304,187,54
197404,141,8
197504,168,35
197604,133,0
197704,86,-47
197804,108,-25
197904,119,-14
198004,171,38
198104,58,-75
198204,194,61
198304,251,118
198404,171,38
198504,102,-31
198604,128,-5
198704,183,50
198804,130,-3
198904,163,30
199004,158,25
199104,78,-55
199204,150,17
199304,216,83
199404,89,-44
199504,115,-18
199604,189,56
199704,219,86
199804,153,20
199904,59,-74
200004,188,55
200104,90,-43
200204,71,-62
200304,112,-21
200404,155,22
200504,157,24
200604,51,-82
200704,186,53
200804,126,-7
200904,154,21
201004,97,-36
201104,78,-55
201204,84,-49
201304,140,7
201404,132,-1
201504,78,-55
