Maine, Heating Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,1244,131
189603,1255,142
189703,1177,64
189803,993,-120
189903,1245,132
190003,1248,135
190103,1182,69
190203,917,-196
190303,912,-201
190403,1188,75
190503,1197,84
190603,1323,210
190703,1209,96
190803,1165,52
190903,1175,62
191003,986,-127
191103,1273,160
191203,1229,116
191303,1045,-68
191403,1133,20
191503,1137,24
191603,1339,226
191703,1157,44
191803,1213,100
191903,1023,-90
192003,1113,0
192103,931,-182
192203,1061,-52
192303,1385,272
192403,1074,-39
192503,1022,-91
192603,1350,237
192703,1048,-65
192803,1186,73
192903,1073,-40
193003,1120,7
193103,992,-121
193203,1202,89
193303,1170,57
193403,1182,69
193503,1158,45
193603,930,-183
193703,1213,100
193803,1148,35
193903,1293,180
194003,1201,88
194103,1202,89
194203,952,-161
194303,1183,70
194403,1193,80
194503,906,-207
194603,860,-253
194703,1072,-41
194803,1165,52
194903,1085,-28
195003,1243,130
195103,1062,-51
195203,1081,-32
195303,1034,-79
195403,1104,-9
195503,1170,57
195603,1293,180
195703,1037,-76
195803,961,-152
195903,1162,49
196003,1210,97
196103,1154,41
196203,1029,-84
196303,1143,30
196403,1102,-11
196503,1094,-19
196603,1036,-77
196703,1280,167
196803,1063,-50
196903,1142,29
197003,1107,-6
197103,1125,12
197203,1237,124
197303,951,-162
197403,1122,9
197503,1151,38
197603,1106,-7
197703,914,-199
197803,1188,75
197903,943,-170
198003,1127,14
198103,997,-116
198203,1128,15
198303,990,-123
198403,1260,147
198503,1069,-44
198603,1073,-40
198703,1051,-62
198803,1096,-17
198903,1182,69
199003,1064,-49
199103,999,-114
199203,1187,74
199303,1163,50
199403,1083,-30
199503,1049,-64
199603,1142,29
199703,1191,78
199803,999,-114
199903,984,-129
200003,920,-193
200103,1160,47
200203,1063,-50
200303,1158,45
200403,1039,-74
200503,1144,31
200603,1028,-85
200703,1111,-2
200803,1165,52
200903,1107,-6
201003,852,-261
201103,1077,-36
201203,857,-256
201303,1002,-111
201403,1319,206
201503,1257,144
