Utah, Heating Degree Days, October
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189510,581,19
189610,576,14
189710,662,100
189810,710,148
189910,715,153
190010,607,45
190110,511,-51
190210,560,-2
190310,578,16
190410,580,18
190510,729,167
190610,608,46
190710,475,-87
190810,741,179
190910,558,-4
191010,582,20
191110,672,110
191210,682,120
191310,664,102
191410,523,-39
191510,524,-38
191610,669,107
191710,546,-16
191810,505,-57
191910,786,224
192010,662,100
192110,435,-127
192210,509,-53
192310,698,136
192410,622,60
192510,621,59
192610,535,-27
192710,518,-44
192810,546,-16
192910,544,-18
193010,647,85
193110,488,-74
193210,613,51
193310,431,-131
193410,481,-81
193510,589,27
193610,559,-3
193710,497,-65
193810,515,-47
193910,567,5
194010,491,-71
194110,646,84
194210,532,-30
194310,495,-67
194410,457,-105
194510,495,-67
194610,724,162
194710,475,-87
194810,541,-21
194910,675,113
195010,409,-153
195110,613,51
195210,426,-136
195310,531,-31
195410,521,-41
195510,511,-51
195610,548,-14
195710,576,14
195810,485,-77
195910,571,9
196010,561,-1
196110,620,58
196210,466,-96
196310,383,-179
196410,477,-85
196510,476,-86
196610,611,49
196710,534,-28
196810,575,13
196910,743,181
197010,720,158
197110,684,122
197210,560,-2
197310,537,-25
197410,523,-39
197510,598,36
197610,621,59
197710,503,-59
197810,478,-84
197910,472,-90
198010,576,14
198110,631,69
198210,690,128
198310,511,-51
198410,737,175
198510,577,15
198610,598,36
198710,448,-114
198810,363,-199
198910,547,-15
199010,544,-18
199110,527,-35
199210,454,-108
199310,585,23
199410,607,45
199510,579,17
199610,579,17
199710,567,5
199810,589,27
199910,472,-90
200010,555,-7
200110,478,-84
200210,631,69
200310,387,-175
200410,555,-7
200510,511,-51
200610,609,47
200710,547,-15
200810,518,-44
200910,680,118
201010,479,-83
201110,522,-40
201210,515,-47
201310,627,65
201410,431,-131
201510,381,-181
