Colorado, Heating Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,215,65
189606,108,-42
189706,140,-10
189806,133,-17
189906,146,-4
190006,93,-57
190106,146,-4
190206,129,-21
190306,249,99
190406,231,81
190506,131,-19
190606,195,45
190706,223,73
190806,197,47
190906,155,5
191006,123,-27
191106,104,-46
191206,221,71
191306,155,5
191406,131,-19
191506,236,86
191606,173,23
191706,189,39
191806,79,-71
191906,149,-1
192006,175,25
192106,142,-8
192206,102,-48
192306,175,25
192406,138,-12
192506,136,-14
192606,148,-2
192706,180,30
192806,261,111
192906,152,2
193006,136,-14
193106,82,-68
193206,168,18
193306,72,-78
193406,105,-45
193506,150,0
193606,79,-71
193706,171,21
193806,132,-18
193906,142,-8
194006,99,-51
194106,189,39
194206,173,23
194306,162,12
194406,159,9
194506,261,111
194606,117,-33
194706,225,75
194806,148,-2
194906,173,23
195006,143,-7
195106,267,117
195206,74,-76
195306,95,-55
195406,107,-43
195506,207,57
195606,64,-86
195706,172,22
195806,116,-34
195906,89,-61
196006,121,-29
196106,130,-20
196206,173,23
196306,116,-34
196406,175,25
196506,192,42
196606,146,-4
196706,224,74
196806,117,-33
196906,243,93
197006,165,15
197106,113,-37
197206,110,-40
197306,147,-3
197406,119,-31
197506,196,46
197606,158,8
197706,68,-82
197806,128,-22
197906,162,12
198006,93,-57
198106,90,-60
198206,219,69
198306,214,64
198406,161,11
198506,130,-20
198606,102,-48
198706,112,-38
198806,69,-81
198906,180,30
199006,73,-77
199106,113,-37
199206,176,26
199306,169,19
199406,62,-88
199506,201,51
199606,106,-44
199706,118,-32
199806,195,45
199906,160,10
200006,115,-35
200106,96,-54
200206,54,-96
200306,186,36
200406,168,18
200506,146,-4
200606,64,-86
200706,112,-38
200806,142,-8
200906,177,27
201006,102,-48
201106,120,-30
201206,42,-108
201306,77,-73
201406,129,-21
201506,81,-69
