Wisconsin, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,1301,-63
189612,1244,-120
189712,1510,146
189812,1528,164
189912,1370,6
190012,1284,-80
190112,1452,88
190212,1414,50
190312,1611,247
190412,1436,72
190512,1265,-99
190612,1300,-64
190712,1274,-90
190812,1359,-5
190912,1558,194
191012,1451,87
191112,1192,-172
191212,1223,-141
191312,1094,-270
191412,1567,203
191512,1339,-25
191612,1539,175
191712,1601,237
191812,1116,-248
191912,1672,308
192012,1251,-113
192112,1325,-39
192212,1404,40
192312,1059,-305
192412,1621,257
192512,1513,149
192612,1495,131
192712,1513,149
192812,1237,-127
192912,1367,3
193012,1325,-39
193112,1074,-290
193212,1402,38
193312,1383,19
193412,1466,102
193512,1423,59
193612,1254,-110
193712,1452,88
193812,1342,-22
193912,1117,-247
194012,1291,-73
194112,1135,-229
194212,1509,145
194312,1318,-46
194412,1483,119
194512,1528,164
194612,1277,-87
194712,1351,-13
194812,1330,-34
194912,1301,-63
195012,1600,236
195112,1439,75
195212,1237,-127
195312,1255,-109
195412,1301,-63
195512,1498,134
195612,1276,-88
195712,1230,-134
195812,1562,198
195912,1123,-241
196012,1420,56
196112,1436,72
196212,1412,48
196312,1641,277
196412,1456,92
196512,1128,-236
196612,1366,2
196712,1282,-82
196812,1369,5
196912,1341,-23
197012,1363,-1
197112,1250,-114
197212,1479,115
197312,1374,10
197412,1230,-134
197512,1310,-54
197612,1661,297
197712,1452,88
197812,1459,95
197912,1181,-183
198012,1371,7
198112,1354,-10
198212,1126,-238
198312,1707,343
198412,1269,-95
198512,1684,320
198612,1254,-110
198712,1175,-189
198812,1334,-30
198912,1661,297
199012,1369,5
199112,1275,-89
199212,1297,-67
199312,1267,-97
199412,1150,-214
199512,1428,64
199612,1360,-4
199712,1157,-207
199812,1132,-232
199912,1238,-126
200012,1665,301
200112,1091,-273
200212,1203,-161
200312,1165,-199
200412,1294,-70
200512,1412,48
200612,1116,-248
200712,1394,30
200812,1527,163
200912,1357,-7
201012,1428,64
201112,1126,-238
201212,1129,-235
201312,1532,168
201412,1178,-186
201512,950,-414
