Wyoming, Heating Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,352,20
189609,411,79
189709,237,-95
189809,340,8
189909,307,-25
190009,362,30
190109,411,79
190209,387,55
190309,446,114
190409,326,-6
190509,300,-32
190609,323,-9
190709,362,30
190809,302,-30
190909,315,-17
191009,307,-25
191109,305,-27
191209,571,239
191309,369,37
191409,315,-17
191509,419,87
191609,363,31
191709,298,-34
191809,382,50
191909,261,-71
192009,341,9
192109,362,30
192209,252,-80
192309,348,16
192409,379,47
192509,315,-17
192609,439,107
192709,358,26
192809,342,10
192909,445,113
193009,342,10
193109,260,-72
193209,323,-9
193309,259,-73
193409,431,99
193509,292,-40
193609,324,-8
193709,249,-83
193809,239,-93
193909,265,-67
194009,219,-113
194109,415,83
194209,355,23
194309,308,-24
194409,325,-7
194509,408,76
194609,332,0
194709,268,-64
194809,224,-108
194909,329,-3
195009,377,45
195109,409,77
195209,245,-87
195309,259,-73
195409,263,-69
195509,308,-24
195609,276,-56
195709,380,48
195809,285,-47
195909,378,46
196009,265,-67
196109,493,161
196209,320,-12
196309,205,-127
196409,360,28
196509,588,256
196609,254,-78
196709,280,-52
196809,373,41
196909,229,-103
197009,421,89
197109,433,101
197209,373,41
197309,401,69
197409,405,73
197509,371,39
197609,294,-38
197709,287,-45
197809,300,-32
197909,220,-112
198009,291,-41
198109,241,-91
198209,355,23
198309,292,-40
198409,413,81
198509,445,113
198609,427,95
198709,306,-26
198809,333,1
198909,323,-9
199009,190,-142
199109,304,-28
199209,297,-35
199309,396,64
199409,241,-91
199509,320,-12
199609,360,28
199709,257,-75
199809,174,-158
199909,404,72
200009,313,-19
200109,214,-118
200209,284,-48
200309,350,18
200409,309,-23
200509,268,-64
200609,387,55
200709,272,-60
200809,352,20
200909,236,-96
201009,255,-77
201109,258,-74
201209,226,-106
201309,230,-102
201409,270,-62
201509,183,-149
