Utah, Heating Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,260,28
189609,274,42
189709,224,-8
189809,248,16
189909,205,-27
190009,320,88
190109,298,66
190209,258,26
190309,316,84
190409,231,-1
190509,236,4
190609,261,29
190709,266,34
190809,272,40
190909,271,39
191009,189,-43
191109,231,-1
191209,421,189
191309,261,29
191409,237,5
191509,284,52
191609,264,32
191709,216,-16
191809,200,-32
191909,192,-40
192009,255,23
192109,275,43
192209,163,-69
192309,266,34
192409,260,28
192509,264,32
192609,291,59
192709,254,22
192809,205,-27
192909,287,55
193009,249,17
193109,201,-31
193209,209,-23
193309,171,-61
193409,252,20
193509,169,-63
193609,257,25
193709,165,-67
193809,153,-79
193909,208,-24
194009,193,-39
194109,330,98
194209,225,-7
194309,163,-69
194409,209,-23
194509,293,61
194609,226,-6
194709,185,-47
194809,174,-58
194909,182,-50
195009,244,12
195109,225,-7
195209,158,-74
195309,168,-64
195409,199,-33
195509,206,-26
195609,176,-56
195709,241,9
195809,203,-29
195909,288,56
196009,155,-77
196109,352,120
196209,192,-40
196309,154,-78
196409,255,23
196509,399,167
196609,187,-45
196709,193,-39
196809,298,66
196909,162,-70
197009,339,107
197109,339,107
197209,279,47
197309,293,61
197409,218,-14
197509,236,4
197609,206,-26
197709,210,-22
197809,267,35
197909,140,-92
198009,218,-14
198109,161,-71
198209,256,24
198309,190,-42
198409,232,0
198509,327,95
198609,350,118
198709,199,-33
198809,247,15
198909,200,-32
199009,113,-119
199109,219,-13
199209,194,-38
199309,237,5
199409,152,-80
199509,183,-49
199609,267,35
199709,192,-40
199809,159,-73
199909,252,20
200009,204,-28
200109,123,-109
200209,213,-19
200309,202,-30
200409,236,4
200509,224,-8
200609,282,50
200709,206,-26
200809,210,-22
200909,140,-92
201009,160,-72
201109,161,-71
201209,154,-78
201309,196,-36
201409,153,-79
201509,124,-108
