Delaware, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1159,277
189602,863,-19
189702,866,-16
189802,870,-12
189902,1085,203
190002,919,37
190102,1074,192
190202,1052,170
190302,841,-41
190402,1102,220
190502,1150,268
190602,910,28
190702,1089,207
190802,993,111
190902,677,-205
191002,906,24
191102,882,0
191202,1011,129
191302,886,4
191402,1030,148
191502,785,-97
191602,959,77
191702,967,85
191802,923,41
191902,857,-25
192002,988,106
192102,805,-77
192202,832,-50
192302,1013,131
192402,947,65
192502,694,-188
192602,901,19
192702,747,-135
192802,876,-6
192902,908,26
193002,762,-120
193102,836,-46
193202,748,-134
193302,831,-51
193402,1247,365
193502,931,49
193602,1116,234
193702,852,-30
193802,774,-108
193902,729,-153
194002,905,23
194102,964,82
194202,950,68
194302,832,-50
194402,857,-25
194502,869,-13
194602,823,-59
194702,1011,129
194802,916,34
194902,713,-169
195002,858,-24
195102,827,-55
195202,789,-93
195302,750,-132
195402,697,-185
195502,857,-25
195602,766,-116
195702,771,-111
195802,1042,160
195902,875,-7
196002,818,-64
196102,831,-51
196202,936,54
196302,1042,160
196402,920,38
196502,869,-13
196602,908,26
196702,982,100
196802,984,102
196902,908,26
197002,884,2
197102,834,-48
197202,913,31
197302,894,12
197402,899,17
197502,809,-73
197602,653,-229
197702,861,-21
197802,1164,282
197902,1181,299
198002,986,104
198102,753,-129
198202,847,-35
198302,865,-17
198402,716,-166
198502,823,-59
198602,920,38
198702,940,58
198802,836,-46
198902,841,-41
199002,657,-225
199102,705,-177
199202,783,-99
199302,950,68
199402,918,36
199502,931,49
199602,861,-21
199702,699,-183
199802,674,-208
199902,767,-115
200002,748,-134
200102,769,-113
200202,688,-194
200302,958,76
200402,830,-52
200502,806,-76
200602,804,-78
200702,1012,130
200802,754,-128
200902,762,-120
201002,946,64
201102,764,-118
201202,683,-199
201302,838,-44
201402,904,22
201502,1103,221
