Utah, Heating Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,402,-5
189605,556,149
189705,278,-129
189805,499,92
189905,536,129
190005,351,-56
190105,302,-105
190205,399,-8
190305,494,87
190405,400,-7
190505,512,105
190605,454,47
190705,499,92
190805,550,143
190905,522,115
191005,373,-34
191105,425,18
191205,495,88
191305,356,-51
191405,327,-80
191505,480,73
191605,515,108
191705,557,150
191805,454,47
191905,305,-102
192005,411,4
192105,402,-5
192205,436,29
192305,390,-17
192405,345,-62
192505,304,-103
192605,361,-46
192705,465,58
192805,300,-107
192905,430,23
193005,488,81
193105,396,-11
193205,384,-23
193305,558,151
193405,216,-191
193505,499,92
193605,297,-110
193705,308,-99
193805,464,57
193905,323,-84
194005,269,-138
194105,343,-64
194205,502,95
194305,429,22
194405,380,-27
194505,383,-24
194605,443,36
194705,306,-101
194805,390,-17
194905,377,-30
195005,513,106
195105,405,-2
195205,359,-48
195305,571,164
195405,316,-91
195505,417,10
195605,342,-65
195705,460,53
195805,268,-139
195905,475,68
196005,403,-4
196105,375,-32
196205,426,19
196305,309,-98
196405,435,28
196505,499,92
196605,308,-99
196705,474,67
196805,460,53
196905,268,-139
197005,408,1
197105,463,56
197205,375,-32
197305,374,-33
197405,359,-48
197505,542,135
197605,338,-69
197705,507,100
197805,484,77
197905,402,-5
198005,475,68
198105,446,39
198205,459,52
198305,519,112
198405,355,-52
198505,331,-76
198605,420,13
198705,339,-68
198805,393,-14
198905,382,-25
199005,435,28
199105,485,78
199205,270,-137
199305,317,-90
199405,293,-114
199505,516,109
199605,387,-20
199705,316,-91
199805,423,16
199905,468,61
200005,305,-102
200105,284,-123
200205,375,-32
200305,341,-66
200405,362,-45
200505,378,-29
200605,303,-104
200705,321,-86
200805,458,51
200905,328,-79
201005,555,148
201105,533,126
201205,339,-68
201305,365,-42
201405,336,-71
201505,409,2
