North Carolina, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,739,5
189612,803,69
189712,700,-34
189812,738,4
189912,779,45
190012,769,35
190112,823,89
190212,758,24
190312,906,172
190412,825,91
190512,782,48
190612,707,-27
190712,731,-3
190812,662,-72
190912,876,142
191012,914,180
191112,642,-92
191212,666,-68
191312,683,-51
191412,835,101
191512,823,89
191612,765,31
191712,1030,296
191812,613,-121
191912,787,53
192012,729,-5
192112,643,-91
192212,627,-107
192312,528,-206
192412,705,-29
192512,777,43
192612,705,-29
192712,710,-24
192812,732,-2
192912,720,-14
193012,873,139
193112,503,-231
193212,631,-103
193312,563,-171
193412,756,22
193512,974,240
193612,690,-44
193712,782,48
193812,738,4
193912,720,-14
194012,621,-113
194112,651,-83
194212,780,46
194312,753,19
194412,880,146
194512,911,177
194612,619,-115
194712,778,44
194812,634,-100
194912,664,-70
195012,883,149
195112,673,-61
195212,759,25
195312,715,-19
195412,811,77
195512,858,124
195612,466,-268
195712,669,-65
195812,876,142
195912,708,-26
196012,910,176
196112,741,7
196212,859,125
196312,971,237
196412,661,-73
196512,704,-30
196612,769,35
196712,630,-104
196812,841,107
196912,828,94
197012,664,-70
197112,476,-258
197212,596,-138
197312,714,-20
197412,709,-25
197512,742,8
197612,839,105
197712,774,40
197812,685,-49
197912,704,-30
198012,748,14
198112,839,105
198212,559,-175
198312,801,67
198412,489,-245
198512,804,70
198612,712,-22
198712,660,-74
198812,749,15
198912,975,241
199012,556,-178
199112,600,-134
199212,725,-9
199312,777,43
199412,577,-157
199512,826,92
199612,649,-85
199712,732,-2
199812,563,-171
199912,668,-66
200012,935,201
200112,535,-199
200212,763,29
200312,765,31
200412,717,-17
200512,777,43
200612,560,-174
200712,549,-185
200812,595,-139
200912,764,30
201012,969,235
201112,565,-169
201212,542,-192
201312,611,-123
201412,621,-113
201512,351,-383
