Pennsylvania, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1304,124
189601,1204,24
189701,1247,67
189801,1092,-88
189901,1225,45
190001,1139,-41
190101,1154,-26
190201,1244,64
190301,1207,27
190401,1419,239
190501,1313,133
190601,976,-204
190701,1135,-45
190801,1167,-13
190901,1111,-69
191001,1218,38
191101,1076,-104
191201,1468,288
191301,909,-271
191401,1128,-52
191501,1158,-22
191601,1010,-170
191701,1175,-5
191801,1537,357
191901,1065,-115
192001,1387,207
192101,1104,-76
192201,1287,107
192301,1162,-18
192401,1174,-6
192501,1287,107
192601,1203,23
192701,1212,32
192801,1137,-43
192901,1205,25
193001,1169,-11
193101,1135,-45
193201,809,-371
193301,922,-258
193401,1069,-111
193501,1231,51
193601,1331,151
193701,926,-254
193801,1158,-22
193901,1136,-44
194001,1472,292
194101,1211,31
194201,1215,35
194301,1175,-5
194401,1101,-79
194501,1384,204
194601,1125,-55
194701,992,-188
194801,1405,225
194901,948,-232
195001,856,-324
195101,1081,-99
195201,1038,-142
195301,998,-182
195401,1196,16
195501,1213,33
195601,1183,3
195701,1275,95
195801,1203,23
195901,1225,45
196001,1085,-95
196101,1368,188
196201,1219,39
196301,1318,138
196401,1151,-29
196501,1258,78
196601,1271,91
196701,1028,-152
196801,1340,160
196901,1221,41
197001,1419,239
197101,1316,136
197201,1096,-84
197301,1085,-95
197401,1035,-145
197501,1053,-127
197601,1307,127
197701,1554,374
197801,1330,150
197901,1244,64
198001,1166,-14
198101,1364,184
198201,1400,220
198301,1120,-60
198401,1317,137
198501,1300,120
198601,1157,-23
198701,1193,13
198801,1306,126
198901,1011,-169
199001,912,-268
199101,1132,-48
199201,1090,-90
199301,1019,-161
199401,1405,225
199501,1037,-143
199601,1236,56
199701,1175,-5
199801,897,-283
199901,1108,-72
200001,1167,-13
200101,1169,-11
200201,952,-228
200301,1311,131
200401,1336,156
200501,1145,-35
200601,878,-302
200701,983,-197
200801,1055,-125
200901,1302,122
201001,1155,-25
201101,1267,87
201201,1022,-158
201301,1060,-120
201401,1346,166
201501,1252,72
