Ohio, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,440,-48
189604,289,-199
189704,513,25
189804,567,79
189904,387,-101
190004,484,-4
190104,577,89
190204,543,55
190304,488,0
190404,661,173
190504,528,40
190604,428,-60
190704,720,232
190804,463,-25
190904,519,31
191004,440,-48
191104,558,70
191204,430,-58
191304,486,-2
191404,499,11
191504,359,-129
191604,523,35
191704,538,50
191804,537,49
191904,498,10
192004,627,139
192104,351,-137
192204,425,-63
192304,544,56
192404,508,20
192504,374,-114
192604,671,183
192704,498,10
192804,608,120
192904,405,-83
193004,438,-50
193104,502,14
193204,546,58
193304,473,-15
193404,515,27
193504,574,86
193604,618,130
193704,510,22
193804,418,-70
193904,586,98
194004,603,115
194104,343,-145
194204,374,-114
194304,627,139
194404,546,58
194504,399,-89
194604,476,-12
194704,480,-8
194804,358,-130
194904,531,43
195004,643,155
195104,540,52
195204,460,-28
195304,575,87
195404,315,-173
195504,308,-180
195604,561,73
195704,419,-69
195804,451,-37
195904,449,-39
196004,364,-124
196104,641,153
196204,508,20
196304,461,-27
196404,424,-64
196504,507,19
196604,538,50
196704,414,-74
196804,415,-73
196904,433,-55
197004,423,-65
197104,551,63
197204,516,28
197304,479,-9
197404,411,-77
197504,639,151
197604,436,-52
197704,367,-121
197804,486,-2
197904,519,31
198004,522,34
198104,372,-116
198204,596,108
198304,548,60
198404,508,20
198504,316,-172
198604,377,-111
198704,450,-38
198804,490,2
198904,545,57
199004,461,-27
199104,356,-132
199204,476,-12
199304,491,3
199404,403,-85
199504,514,26
199604,512,24
199704,572,84
199804,426,-62
199904,380,-108
200004,470,-18
200104,349,-139
200204,385,-103
200304,409,-79
200404,433,-55
200504,401,-87
200604,341,-147
200704,508,20
200804,374,-114
200904,425,-63
201004,308,-180
201104,401,-87
201204,455,-33
201304,443,-45
201404,420,-68
201504,415,-73
