Montana, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1605,167
189601,1411,-27
189701,1433,-5
189801,1418,-20
189901,1413,-25
190001,1195,-243
190101,1398,-40
190201,1424,-14
190301,1284,-154
190401,1304,-134
190501,1451,13
190601,1276,-162
190701,1813,375
190801,1292,-146
190901,1599,161
191001,1440,2
191101,1496,58
191201,1462,24
191301,1550,112
191401,1229,-209
191501,1438,0
191601,2033,595
191701,1542,104
191801,1488,50
191901,1173,-265
192001,1371,-67
192101,1259,-179
192201,1608,170
192301,1274,-164
192401,1563,125
192501,1330,-108
192601,1290,-148
192701,1456,18
192801,1360,-78
192901,1789,351
193001,1934,496
193101,1187,-251
193201,1500,62
193301,1353,-85
193401,1123,-315
193501,1439,1
193601,1460,22
193701,2040,602
193801,1303,-135
193901,1181,-257
194001,1592,154
194101,1286,-152
194201,1474,36
194301,1681,243
194401,1288,-150
194501,1285,-153
194601,1267,-171
194701,1403,-35
194801,1328,-110
194901,1902,464
195001,1933,495
195101,1535,97
195201,1561,123
195301,1075,-363
195401,1548,110
195501,1398,-40
195601,1461,23
195701,1801,363
195801,1191,-247
195901,1397,-41
196001,1493,55
196101,1236,-202
196201,1543,105
196301,1710,272
196401,1298,-140
196501,1299,-139
196601,1476,38
196701,1238,-200
196801,1453,15
196901,1755,317
197001,1453,15
197101,1452,14
197201,1589,151
197301,1430,-8
197401,1471,33
197501,1395,-43
197601,1298,-140
197701,1527,89
197801,1552,114
197901,1909,471
198001,1589,151
198101,1128,-310
198201,1603,165
198301,1159,-279
198401,1265,-173
198501,1517,79
198601,1137,-301
198701,1293,-145
198801,1433,-5
198901,1310,-128
199001,1206,-232
199101,1465,27
199201,1168,-270
199301,1571,133
199401,1233,-205
199501,1283,-155
199601,1552,114
199701,1480,42
199801,1349,-89
199901,1244,-194
200001,1287,-151
200101,1246,-192
200201,1290,-148
200301,1175,-263
200401,1396,-42
200501,1365,-73
200601,1061,-377
200701,1345,-93
200801,1422,-16
200901,1294,-144
201001,1285,-153
201101,1337,-101
201201,1220,-218
201301,1298,-140
201401,1207,-231
201501,1196,-242
