Massachusetts, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1272,182
189602,1100,10
189702,1081,-9
189802,1037,-53
189902,1189,99
190002,1116,26
190102,1265,175
190202,1115,25
190302,1046,-44
190402,1300,210
190502,1291,201
190602,1090,0
190702,1319,229
190802,1200,110
190902,1009,-81
191002,1126,36
191102,1168,78
191202,1193,103
191302,1157,67
191402,1268,178
191502,995,-95
191602,1209,119
191702,1210,120
191802,1201,111
191902,1036,-54
192002,1189,99
192102,1029,-61
192202,1071,-19
192302,1306,216
192402,1219,129
192502,900,-190
192602,1174,84
192702,1016,-74
192802,1100,10
192902,1080,-10
193002,999,-91
193102,1084,-6
193202,1070,-20
193302,1000,-90
193402,1426,336
193502,1133,43
193602,1281,191
193702,966,-124
193802,1022,-68
193902,1014,-76
194002,1089,-1
194102,1098,8
194202,1151,61
194302,1070,-20
194402,1100,10
194502,1084,-6
194602,1156,66
194702,1097,7
194802,1195,105
194902,954,-136
195002,1126,36
195102,956,-134
195202,1004,-86
195302,926,-164
195402,889,-201
195502,1013,-77
195602,1010,-80
195702,949,-141
195802,1212,122
195902,1164,74
196002,932,-158
196102,1059,-31
196202,1170,80
196302,1206,116
196402,1118,28
196502,1107,17
196602,1067,-23
196702,1179,89
196802,1194,104
196902,1066,-24
197002,1060,-30
197102,1061,-29
197202,1131,41
197302,1079,-11
197402,1108,18
197502,1055,-35
197602,918,-172
197702,1088,-2
197802,1246,156
197902,1298,208
198002,1148,58
198102,892,-198
198202,1059,-31
198302,1002,-88
198402,863,-227
198502,1009,-81
198602,1101,11
198702,1103,13
198802,1030,-60
198902,1074,-16
199002,954,-136
199102,910,-180
199202,1006,-84
199302,1201,111
199402,1171,81
199502,1100,10
199602,1066,-24
199702,883,-207
199802,855,-235
199902,938,-152
200002,947,-143
200102,1011,-79
200202,890,-200
200302,1156,66
200402,1016,-74
200502,1012,-78
200602,1004,-86
200702,1159,69
200802,989,-101
200902,989,-101
201002,973,-117
201102,1073,-17
201202,853,-237
201302,995,-95
201402,1110,20
201502,1382,292
