Illinois, Heating Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,12,-25
189606,28,-9
189706,39,2
189806,18,-19
189906,19,-18
190006,39,2
190106,14,-23
190206,69,32
190306,99,62
190406,51,14
190506,34,-3
190606,41,4
190706,65,28
190806,44,7
190906,41,4
191006,41,4
191106,10,-27
191206,62,25
191306,20,-17
191406,25,-12
191506,79,42
191606,101,64
191706,80,43
191806,37,0
191906,11,-26
192006,27,-10
192106,7,-30
192206,20,-17
192306,16,-21
192406,65,28
192506,17,-20
192606,85,48
192706,79,42
192806,93,56
192906,68,31
193006,32,-5
193106,12,-25
193206,18,-19
193306,0,-37
193406,5,-32
193506,76,39
193606,45,8
193706,45,8
193806,49,12
193906,17,-20
194006,25,-12
194106,24,-13
194206,27,-10
194306,12,-25
194406,11,-26
194506,77,40
194606,37,0
194706,63,26
194806,41,4
194906,10,-27
195006,39,2
195106,65,28
195206,9,-28
195306,10,-27
195406,8,-29
195506,62,25
195606,13,-24
195706,28,-9
195806,95,58
195906,18,-19
196006,54,17
196106,35,-2
196206,29,-8
196306,17,-20
196406,18,-19
196506,34,-3
196606,25,-12
196706,19,-18
196806,20,-17
196906,79,42
197006,32,-5
197106,7,-30
197206,65,28
197306,18,-19
197406,68,31
197506,21,-16
197606,24,-13
197706,41,4
197806,25,-12
197906,26,-11
198006,46,9
198106,20,-17
198206,87,50
198306,20,-17
198406,13,-24
198506,53,16
198606,31,-6
198706,10,-27
198806,12,-25
198906,36,-1
199006,25,-12
199106,9,-28
199206,59,22
199306,43,6
199406,16,-21
199506,16,-21
199606,31,-6
199706,31,-6
199806,28,-9
199906,19,-18
200006,40,3
200106,41,4
200206,15,-22
200306,63,26
200406,42,5
200506,7,-30
200606,35,-2
200706,18,-19
200806,19,-18
200906,30,-7
201006,15,-22
201106,22,-15
201206,16,-21
201306,33,-4
201406,20,-17
201506,38,1
