Massachusetts, Heating Degree Days, October
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189510,621,178
189610,573,130
189710,460,17
189810,428,-15
189910,425,-18
190010,342,-101
190110,458,15
190210,462,19
190310,452,9
190410,560,117
190510,463,20
190610,458,15
190710,599,156
190810,395,-48
190910,511,68
191010,416,-27
191110,521,78
191210,397,-46
191310,352,-91
191410,370,-73
191510,426,-17
191610,430,-13
191710,540,97
191810,392,-51
191910,409,-34
192010,302,-141
192110,447,4
192210,428,-15
192310,447,4
192410,464,21
192510,647,204
192610,508,65
192710,355,-88
192810,412,-31
192910,505,62
193010,503,60
193110,352,-91
193210,389,-54
193310,473,30
193410,546,103
193510,455,12
193610,439,-4
193710,496,53
193810,355,-88
193910,443,0
194010,574,131
194110,398,-45
194210,409,-34
194310,437,-6
194410,458,15
194510,488,45
194610,335,-108
194710,258,-185
194810,462,19
194910,321,-122
195010,384,-59
195110,405,-38
195210,490,47
195310,389,-54
195410,315,-128
195510,409,-34
195610,451,8
195710,457,14
195810,498,55
195910,411,-32
196010,472,29
196110,358,-85
196210,477,34
196310,316,-127
196410,486,43
196510,482,39
196610,485,42
196710,431,-12
196810,357,-86
196910,451,8
197010,394,-49
197110,284,-159
197210,565,122
197310,429,-14
197410,584,141
197510,380,-63
197610,536,93
197710,460,17
197810,495,52
197910,460,17
198010,515,72
198110,546,103
198210,467,24
198310,434,-9
198410,379,-64
198510,416,-27
198610,460,17
198710,506,63
198810,563,120
198910,421,-22
199010,308,-135
199110,372,-71
199210,531,88
199310,507,64
199410,440,-3
199510,331,-112
199610,461,18
199710,484,41
199810,412,-31
199910,470,27
200010,436,-7
200110,380,-63
200210,488,45
200310,481,38
200410,442,-1
200510,377,-66
200610,441,-2
200710,270,-173
200810,468,25
200910,489,46
201010,396,-47
201110,359,-84
201210,338,-105
201310,388,-55
201410,341,-102
201510,435,-8
