Virginia, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,354,23
189604,244,-87
189704,341,10
189804,443,112
189904,338,7
190004,342,11
190104,475,144
190204,385,54
190304,357,26
190404,439,108
190504,325,-6
190604,295,-36
190704,521,190
190804,255,-76
190904,318,-13
191004,264,-67
191104,452,121
191204,257,-74
191304,320,-11
191404,350,19
191504,253,-78
191604,372,41
191704,325,-6
191804,393,62
191904,350,19
192004,382,51
192104,216,-115
192204,287,-44
192304,366,35
192404,410,79
192504,269,-62
192604,414,83
192704,413,82
192804,410,79
192904,238,-93
193004,354,23
193104,376,45
193204,378,47
193304,330,-1
193404,331,0
193504,416,85
193604,413,82
193704,361,30
193804,273,-58
193904,365,34
194004,432,101
194104,231,-100
194204,259,-72
194304,418,87
194404,359,28
194504,232,-99
194604,311,-20
194704,273,-58
194804,271,-60
194904,362,31
195004,402,71
195104,347,16
195204,300,-31
195304,330,-1
195404,204,-127
195504,230,-101
195604,382,51
195704,225,-106
195804,321,-10
195904,262,-69
196004,213,-118
196104,459,128
196204,351,20
196304,285,-46
196404,347,16
196504,371,40
196604,429,98
196704,269,-62
196804,311,-20
196904,273,-58
197004,323,-8
197104,381,50
197204,357,26
197304,346,15
197404,275,-56
197504,440,109
197604,273,-58
197704,237,-94
197804,327,-4
197904,325,-6
198004,301,-30
198104,221,-110
198204,400,69
198304,416,85
198404,387,56
198504,207,-124
198604,282,-49
198704,394,63
198804,351,20
198904,371,40
199004,316,-15
199104,263,-68
199204,323,-8
199304,357,26
199404,194,-137
199504,316,-15
199604,307,-24
199704,414,83
199804,273,-58
199904,278,-53
200004,325,-6
200104,260,-71
200204,223,-108
200304,315,-16
200404,284,-47
200504,294,-37
200604,222,-109
200704,346,15
200804,266,-65
200904,281,-50
201004,198,-133
201104,212,-119
201204,288,-43
201304,265,-66
201404,304,-27
201504,274,-57
