Illinois, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,1128,-50
189612,1038,-140
189712,1297,119
189812,1295,117
189912,1205,27
190012,1108,-70
190112,1309,131
190212,1255,77
190312,1415,237
190412,1247,69
190512,1139,-39
190612,1107,-71
190712,1091,-87
190812,1131,-47
190912,1457,279
191012,1294,116
191112,1041,-137
191212,1049,-129
191312,968,-210
191412,1392,214
191512,1215,37
191612,1293,115
191712,1429,251
191812,944,-234
191912,1433,255
192012,1103,-75
192112,1099,-79
192212,1170,-8
192312,883,-295
192412,1383,205
192512,1316,138
192612,1252,74
192712,1235,57
192812,1080,-98
192912,1191,13
193012,1167,-11
193112,905,-273
193212,1211,33
193312,1092,-86
193412,1277,99
193512,1313,135
193612,1047,-131
193712,1263,85
193812,1154,-24
193912,994,-184
194012,1047,-131
194112,964,-214
194212,1328,150
194312,1189,11
194412,1357,179
194512,1377,199
194612,1035,-143
194712,1103,-75
194812,1108,-70
194912,1056,-122
195012,1452,274
195112,1248,70
195212,1073,-105
195312,1094,-84
195412,1108,-70
195512,1267,89
195612,1052,-126
195712,999,-179
195812,1368,190
195912,968,-210
196012,1271,93
196112,1260,82
196212,1277,99
196312,1531,353
196412,1230,52
196512,932,-246
196612,1168,-10
196712,1110,-68
196812,1184,6
196912,1215,37
197012,1099,-79
197112,979,-199
197212,1266,88
197312,1210,32
197412,1095,-83
197512,1084,-94
197612,1412,234
197712,1299,121
197812,1229,51
197912,1027,-151
198012,1148,-30
198112,1224,46
198212,897,-281
198312,1540,362
198412,1006,-172
198512,1446,268
198612,1076,-102
198712,1021,-157
198812,1134,-44
198912,1514,336
199012,1131,-47
199112,1058,-120
199212,1128,-50
199312,1113,-65
199412,965,-213
199512,1210,32
199612,1159,-19
199712,1063,-115
199812,959,-219
199912,1091,-87
200012,1528,350
200112,962,-216
200212,1081,-97
200312,1024,-154
200412,1120,-58
200512,1297,119
200612,986,-192
200712,1168,-10
200812,1296,118
200912,1179,1
201012,1354,176
201112,952,-226
201212,925,-253
201312,1295,117
201412,1014,-164
201512,794,-384
