Minnesota, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1623,184
189602,1366,-73
189702,1421,-18
189802,1404,-35
189902,1770,331
190002,1692,253
190102,1610,171
190202,1450,11
190302,1567,128
190402,1811,372
190502,1615,176
190602,1508,69
190702,1451,12
190802,1340,-99
190902,1463,24
191002,1636,197
191102,1357,-82
191202,1556,117
191302,1594,155
191402,1740,301
191502,1236,-203
191602,1634,195
191702,1778,339
191802,1475,36
191902,1468,29
192002,1488,49
192102,1262,-177
192202,1626,187
192302,1672,233
192402,1327,-112
192502,1361,-78
192602,1305,-134
192702,1328,-111
192802,1360,-79
192902,1681,242
193002,1202,-237
193102,1080,-359
193202,1413,-26
193302,1595,156
193402,1448,9
193502,1222,-217
193602,1963,524
193702,1567,128
193802,1353,-86
193902,1668,229
194002,1356,-83
194102,1492,53
194202,1384,-55
194302,1432,-7
194402,1387,-52
194502,1420,-19
194602,1485,46
194702,1539,100
194802,1533,94
194902,1570,131
195002,1484,45
195102,1429,-10
195202,1257,-182
195302,1420,-19
195402,1062,-377
195502,1542,103
195602,1541,102
195702,1392,-47
195802,1502,63
195902,1506,67
196002,1433,-6
196102,1211,-228
196202,1523,84
196302,1535,96
196402,1277,-162
196502,1592,153
196602,1487,48
196702,1651,212
196802,1507,68
196902,1383,-56
197002,1479,40
197102,1438,-1
197202,1609,170
197302,1335,-104
197402,1440,1
197502,1456,17
197602,1166,-273
197702,1296,-143
197802,1599,160
197902,1682,243
198002,1483,44
198102,1255,-184
198202,1482,43
198302,1185,-254
198402,1113,-326
198502,1481,42
198602,1467,28
198702,1031,-408
198802,1566,127
198902,1670,231
199002,1305,-134
199102,1218,-221
199202,1139,-300
199302,1437,-2
199402,1592,153
199502,1420,-19
199602,1445,6
199702,1348,-91
199802,986,-453
199902,1132,-307
200002,1151,-288
200102,1588,149
200202,1119,-320
200302,1486,47
200402,1309,-130
200502,1193,-246
200602,1400,-39
200702,1561,122
200802,1511,72
200902,1343,-96
201002,1406,-33
201102,1404,-35
201202,1137,-302
201302,1407,-32
201402,1682,243
201502,1618,179
