Arizona, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,508,-24
189601,390,-142
189701,485,-47
189801,676,144
189901,571,39
190001,420,-112
190101,515,-17
190201,523,-9
190301,530,-2
190401,634,102
190501,465,-67
190601,581,49
190701,508,-24
190801,481,-51
190901,412,-120
191001,535,3
191101,404,-128
191201,498,-34
191301,677,145
191401,443,-89
191501,597,65
191601,545,13
191701,606,74
191801,591,59
191901,602,70
192001,506,-26
192101,529,-3
192201,625,93
192301,428,-104
192401,615,83
192501,614,82
192601,641,109
192701,436,-96
192801,516,-16
192901,607,75
193001,583,51
193101,554,22
193201,727,195
193301,659,127
193401,508,-24
193501,489,-43
193601,545,13
193701,837,305
193801,468,-64
193901,541,9
194001,455,-77
194101,478,-54
194201,505,-27
194301,500,-32
194401,581,49
194501,555,23
194601,585,53
194701,619,87
194801,532,0
194901,790,258
195001,586,54
195101,545,13
195201,559,27
195301,433,-99
195401,502,-30
195501,648,116
195601,403,-129
195701,474,-58
195801,516,-16
195901,459,-73
196001,656,124
196101,459,-73
196201,572,40
196301,617,85
196401,644,112
196501,466,-66
196601,622,90
196701,545,13
196801,527,-5
196901,414,-118
197001,542,10
197101,530,-2
197201,548,16
197301,616,84
197401,526,-6
197501,546,14
197601,497,-35
197701,533,1
197801,469,-63
197901,643,111
198001,435,-97
198101,386,-146
198201,519,-13
198301,476,-56
198401,477,-55
198501,544,12
198601,339,-193
198701,544,12
198801,532,0
198901,550,18
199001,523,-9
199101,518,-14
199201,524,-8
199301,442,-90
199401,466,-66
199501,499,-33
199601,436,-96
199701,479,-53
199801,454,-78
199901,417,-115
200001,392,-140
200101,542,10
200201,493,-39
200301,305,-227
200401,455,-77
200501,423,-109
200601,432,-100
200701,578,46
200801,531,-1
200901,397,-135
201001,456,-76
201101,501,-31
201201,403,-129
201301,573,41
201401,368,-164
201501,410,-122
